,Exe_time,Case_Study,Dati,Start,Turning & Milling,Turning & Milling Q.C.,Laser Marking,Lapping,Round Grinding,Final Inspection Q.C.,Packing,End,Turning Q.C.,Flat Grinding,Grinding Rework,Setup,Turning,SETUP     Turning & Milling,Final Inspection,Rework Milling,Milling Q.C.,Milling,Fix,Round  Q.C.,Stress Relief,Turning Rework,Change Version,Turn & Mill. & Screw Assem,Nitration Q.C.
0,"(1.0, 32.91581019992009)",Production_Case_Study,alpha,0,0.0625,0,0.5,0,0,0.0625,0.05859375,0,0.125,0,0.0859375,0.25,0,0.5,0,1,0,0,1,0,0,0.25,0,0,0
1,"(1.0, 32.91581019992009)",Production_Case_Study,error,0.0,35051.79741557217,73445.18544851287,106651.27090423412,205825.6216216215,56095.63001581631,89913.29858908377,82906.99566135736,6266.666666666667,34200.88961204578,72758.49624060153,284543.2114953191,36590.503088,54115.275590551144,126178.69118000001,36060.0,6300.0,0.0,36821.333333333336,373510.0,205430.0,7300.000000000002,399560.00000000006,47415.0,97542.91348088533,894900.0
2,"(1.0, 24.195709499996156)",Production_Case_Study,alpha,0,0.0625,0.03125,0.5,0,0,0,0.0546875,0.25,0,0.0625,0.0625,0.625,0,0.5,0.5,1,0.5,0,0.03125,0,0,0,0.5,0,0
3,"(1.0, 24.195709499996156)",Production_Case_Study,error,0.0,32949.35157248375,63617.86446431925,108355.40415910319,189607.135135135,57332.726317172506,98643.28240680188,78892.75642834992,8199.2058824375,31513.81818181818,52300.370330152546,314167.56704880734,1730.4844780000003,54115.275590551144,204870.0063665,36060.0,6300.0,0.0,35085.89473684211,262359.5921770666,189022.72727272726,7300.000000000002,399560.00000000006,30279.0,87025.7612524462,727500.0
4,"(1.0, 16.670979799935594)",Production_Case_Study,alpha,0,0,0.125,0.125,0,0,0.0625,0.0625,0.125,0,0,0.125,0.5,0.25,0,0,1,1,0.109375,0,0,0.25,1,1,0.125,0
5,"(1.0, 16.670979799935594)",Production_Case_Study,error,0.0,34340.70114484556,74879.68056224956,86421.68908446429,201321.08108108098,57855.7385605753,87037.76704417643,83534.90693064328,344.1518617777779,25914.671328671328,80738.13575996069,278444.4182980193,5730.0,44679.18370895206,186093.33333333334,36060.0,120701.132349,0.0,19016.60163323829,373510.0,168416.66666666666,4846.197839333334,399560.00000000006,47415.0,68879.12417458321,621300.0
6,"(1.0, 16.204052899964154)",Production_Case_Study,alpha,0,0.0625,0.0625,0.125,0,0,0.09375,0.0625,0,0,0.09375,0.109375,0,0,0,1,1,0,0.03125,0,0,0,1,0,0.0625,0
7,"(1.0, 16.204052899964154)",Production_Case_Study,error,0.0,33964.633456383934,64651.4834338558,125413.96033680953,193135.78378378364,53189.828040766544,85115.84190581083,80155.1483127602,4400.0,22054.097902097903,52863.83742678072,287875.57871448406,231050.0,54115.275590551144,4840.0,36060.0,6300.0,0.0,24890.381872916667,229376.6666666666,142022.0,5900.0,399560.00000000006,47415.0,69289.58115705717,617700.0
8,"(1.0, 32.35638300003484)",Production_Case_Study,alpha,0,0,0.03125,0,0,0.03125,0.0625,0.05859375,0.5,0.0625,0.09375,0.125,0,1,0.25,1,0,0.5,0,0,0,0,0,0,0.5,0
9,"(1.0, 32.35638300003484)",Production_Case_Study,error,0.0,34060.86736139824,68635.19154023928,117521.42857142857,179755.135135135,54467.8531252603,93697.80017873044,78752.12324361998,111.54517549999998,28543.505302096826,55530.81697579731,277818.09143947,5730.0,43618.91374298028,55999.271498666676,36060.0,79700.0,0.0,35585.142857142855,305920.47619047615,154790.0,50300.0,399560.00000000006,47415.0,87666.85714285716,700500.0
10,"(1.0, 24.415769399842247)",Production_Case_Study,alpha,0,0.0625,0.0625,0,0,0,0.03125,0.0625,0,0.03125,0,0.0625,0.5,0,0,0,0,0,0,0,0.0625,0,0,1,0.0625,0
11,"(1.0, 24.415769399842247)",Production_Case_Study,error,0.0,33636.300191093025,77234.89015804102,177410.0,188545.62162162148,55522.58616953606,98453.00150761641,79501.09587917352,24000.000000000007,32768.96740586552,81852.54385964914,321375.546439032,5730.0,54115.275590551144,92384.0,36060.0,11700.0,0.0,28652.0,373510.0,141669.5945174,7300.000000000002,399560.00000000006,26705.0,67522.93047332075,797700.0
12,"(1.0, 32.554845499806106)",Production_Case_Study,alpha,0,0.1015625,0,0.125,0.125,0.0625,0,0.0625,0,0.109375,0.11328125,0.125,0.6875,0,0.5,1,1,0.5,0,1,0,1,1,1,0,0.03125
13,"(1.0, 32.554845499806106)",Production_Case_Study,error,0.0,29578.231451611697,72129.85129812716,103533.89212646031,161124.38134013207,53747.588909759004,105303.49796059457,73606.18912004736,6480.000000000002,13964.678314824692,39811.45264074885,294386.1334154657,3923.4003950000006,45672.377952755865,93871.17907849999,36060.0,6300.0,0.0,35808.0,389655.4526045,62330.0,7300.000000000002,399560.00000000006,24365.0,95058.16149068324,108846.27132300005
14,"(1.0, 33.04220929997973)",Production_Case_Study,alpha,0,0.0625,0,0,0,0.015625,0,0,0,0.0625,0,0.09375,0.5,1,1,0,0,1,0.125,1,0.125,0.25,0.5,0,0,0
15,"(1.0, 33.04220929997973)",Production_Case_Study,error,0.0,33973.01475737065,74002.29885057472,134521.42857142858,201321.08108108098,56284.76524496134,104538.595699736,95450.49184115528,6480.0,30169.012075241495,73422.30969986953,284553.8785034639,38820.469195,54115.275590551144,119778.5571325,36060.0,6300.0,0.0,24443.418169164717,373510.0,93786.114958625,7300.000000000002,399560.00000000006,47415.0,87222.41269841272,538500.0
16,"(1.0, 9.24240869982168)",Production_Case_Study,alpha,0,0.03125,0.0625,0.25,0,0.0625,0,0.0625,0,0,0.0625,0.0625,0,0.5,0,0,0.25,0.5,0.125,0,0,1,0.25,0.5,1,0
17,"(1.0, 9.24240869982168)",Production_Case_Study,error,0.0,32560.34641599716,66213.2063059101,110821.29779823017,205825.6216216215,55583.68558387783,103195.27050092767,75787.79819966052,4885.714285714286,42715.81818181819,69002.43653264915,320678.4672455204,177203.33333333334,41711.02510576166,103180.0,36060.0,170924.52677549998,0.0,19087.427761309675,373510.0,189954.44444444444,7300.000000000002,399560.00000000006,31785.0,87666.85714285716,894900.0
18,"(1.0, 33.00800470006652)",Production_Case_Study,alpha,0,0,0.09375,0,0,0.03125,0.07421875,0.0625,0.0625,0.0625,0.0625,0.0625,0,0.5,0.3125,0,0,0,0.0625,0,0,1,0,1,0.09375,0
19,"(1.0, 33.00800470006652)",Production_Case_Study,error,0.0,33561.943436796195,67369.91854194546,128121.42857142858,205825.6216216215,56789.31898331408,80516.64214631925,79280.74188828681,5909.682695666666,22238.518309722735,65621.48958105086,300964.9034596126,5730.0,50833.29690825981,53935.110373,36060.0,6300.0,0.0,26036.290595133334,373510.0,68326.0,7300.000000000002,399560.00000000006,47415.0,67281.19539829105,894900.0
20,"(1.0, 24.362206200137734)",Production_Case_Study,alpha,0,0.0234375,0.0625,0.3125,0.5,0,0.0625,0.0625,0,0.09375,0.09375,0.09375,1,0,0.25,1,1,0,0.0625,0,0,1,0.5,0.25,1,0
21,"(1.0, 24.362206200137734)",Production_Case_Study,error,0.0,33585.430416894866,75939.53495876552,83155.90967486508,193696.66223407682,55597.62502290525,98485.75026416476,75006.30428479052,1800.0,22679.09009559402,57250.602185865275,291061.2841764097,5730.0,54115.275590551144,44932.620364,36060.0,6300.0,0.0,22902.69366315789,373510.0,31780.0,7300.000000000002,399560.00000000006,34601.666666666664,87666.85714285716,797700.0
22,"(1.0, 33.44092520000413)",Production_Case_Study,alpha,0,0.03125,0,0.25,0.25,0.0625,0.046875,0.0625,1,0.0625,0.0419921875,0,0.75,1,0.25,0.125,1,0.75,0.03125,0,0,0,0,0.5,0.125,0
