,Exe_time,Case_Study,Dati,Create Purchase Requisition,Create Request for Quotation,Analyze Request for Quotation,Send Request for Quotation to Supplier,Create Quotation comparison Map,Analyze Quotation Comparison Map,Choose best option,Settle Conditions With Supplier,Create Purchase Order,Confirm Purchase Order,Deliver Goods Services,Release Purchase Order,Approve Purchase Order for payment,Send Invoice,Release Supplier's Invoice,Authorize Supplier's Invoice payment,Pay Invoice,Amend Request for Quotation,Settle Dispute With Supplier,Analyze Purchase Requisition,Amend Purchase Requisition
0,"(2.0, 45.1496419000905)",Purchase_Process_Case_Study,alpha,0,0.75,0.25,0.087890625,0.0859375,0.625,1,0.099609375,0.0859375,0.24609375,0.248046875,0.38671875,0.1015625,0.25,0.6875,0,0.0625,0.25,0,0.75,0
1,"(2.0, 45.1496419000905)",Purchase_Process_Case_Study,error,0.0,5955.072212362179,319808.2365031723,14456.337468662028,9773.415734772567,13414.945118227091,9913.910643567377,27627.667898566357,7507.420969144997,89179.76021079461,212230.6227694325,13331.363480489748,8396.206936607625,93482.40748080995,24809.974138072273,12703.87840721118,11562.798893518206,8819.243937080922,11100.7595549105,41188.63176641804,13745.454545454546
2,"(2.0, 44.993749700021)",Purchase_Process_Case_Study,alpha,0,0.75,0.25,0.0859375,0.109375,0.375,1,0.1171875,0.109375,0.2421875,0.23828125,0.40625,0.109375,0.23828125,0.5625,0.109375,0.046875,0.5,0.3125,0,1
3,"(2.0, 44.993749700021)",Purchase_Process_Case_Study,error,0.0,6804.904656269535,423635.7780266681,8543.455695461776,8035.892007407882,12969.508094800152,9195.303485784361,15562.675873950602,6176.236801597421,75016.68741251912,198971.40438049112,13177.969907262268,7363.235472972861,73330.68960236257,24536.963272486493,10946.158549737098,10347.058237813057,10544.329379934417,8752.682776420963,42334.31537574775,21627.468560272726
4,"(2.0, 30.4956296000164)",Purchase_Process_Case_Study,alpha,0,0.75,0.2265625,0.1015625,0.09375,0.625,1,0.1015625,0.109375,0.234375,0.234375,0.40625,0.109375,0.234375,0.5,0.125,0.125,0.5,0.125,1,0
5,"(2.0, 30.4956296000164)",Purchase_Process_Case_Study,error,0.0,5983.146010698529,507476.87539987726,20627.5326788694,10422.826507375301,13249.937836913727,10936.043996748202,24153.75330789959,9268.600359922795,89462.36506423281,205646.16243761277,13766.840186087553,15392.472070199929,83045.30298261708,23813.761563748343,12003.479522820217,11520.809096301526,9386.010524357293,8542.118015997257,40474.979542786125,25471.16883116883
6,"(2.0, 45.44830479985103)",Purchase_Process_Case_Study,alpha,0,0.75,0.25,0.0859375,0.08984375,0.625,1,0.1015625,0.09765625,0.21875,0.25,0.46875,0.09375,0.21875,0.625,0.125,0.25,0.5,0.375,0.875,0
7,"(2.0, 45.44830479985103)",Purchase_Process_Case_Study,error,0.0,7350.580300839899,434710.30812371674,11724.855983597667,9462.233384052122,12810.16540075366,11064.902075692124,18393.771501989846,7193.60676802285,80880.5915721357,209711.87316624483,13000.636216085106,12907.972833960826,88306.21349960903,25182.145971832924,11800.801497531525,11142.028767814947,9849.15224687129,9378.67740530427,41111.02341357189,23262.27050038788
8,"(2.0, 47.48166829999536)",Purchase_Process_Case_Study,alpha,0,0.75,0.123046875,0.125,0.123046875,0.625,1,0.125,0.125,0.25,0.25,0.40625,0.125,0.25,0.625,0,0.1171875,0.5,0.125,0.75,0
9,"(2.0, 47.48166829999536)",Purchase_Process_Case_Study,error,0.0,6901.374404935349,566993.5949906391,45835.55493162926,25082.567473177645,13167.954278981466,10129.515522567568,47447.627884718095,24067.469270579884,88462.98253817792,212381.92334222008,14026.210113985722,30287.85203059407,81884.30697420445,24601.892424944475,13045.955268925785,11381.634987155629,9489.443142187409,10276.905608404884,39970.98412386578,22385.454545454548
10,"(2.0, 51.01720880018547)",Purchase_Process_Case_Study,alpha,0,0.75,0.25,0.087890625,0.087890625,0.625,1,0.0986328125,0.087890625,0.25,0.234375,0.59375,0.087890625,0.25,0.4375,0.15625,0.15625,0.5,0.25,0.5,1
11,"(2.0, 51.01720880018547)",Purchase_Process_Case_Study,error,0.0,6722.145657249362,368195.6467298607,15557.756727503682,8767.062688931543,12670.92875067244,9454.822630110328,27211.388867048387,6852.064064610471,88394.25588304835,223293.67571774038,13752.691288861224,9551.60324737176,84748.42002378251,26561.28256496737,11379.014614748252,10856.421972705753,8465.350631304733,9341.535953896604,39870.8878465811,20584.627524863638
12,"(2.0, 46.26104269991629)",Purchase_Process_Case_Study,alpha,0,0.5,0.25,0.0859375,0.109375,0.375,1,0.10546875,0.109375,0.23828125,0.2421875,0.40625,0.109375,0.25,0.6875,0.125,0,0.5,0.25,1,1
13,"(2.0, 46.26104269991629)",Purchase_Process_Case_Study,error,0.0,6451.14357272266,424420.8719232398,14960.84094045728,7386.882967528327,13231.012927871498,9767.120310802005,22544.101157315894,6975.704284291505,82996.13260072868,201410.28889053233,13234.869533802488,6887.537590303334,71037.47292611044,24256.595137955883,12784.411363505913,12144.051172707892,9306.38136593491,9536.450617190249,42318.4941499051,7186.825421375
14,"(1.0, 46.29461019998416)",Purchase_Process_Case_Study,alpha,0,0.6875,0.25,0.09375,0.09375,0.5625,1,0.09375,0.09375,0.21875,0.21875,0.3125,0.09375,0.21875,0.5625,0.125,0.125,0.5,0.125,0.75,0
