,Activity,Alpha,W.Distance
0,Create Purchase Requisition,0.0,0.0
1,Create Purchase Requisition,1.0,0.0
2,Create Purchase Requisition,0.5,0.0
3,Create Request for Quotation,0.0,6914.889705882352
4,Create Request for Quotation,1.0,6679.852941176471
5,Create Request for Quotation,0.5,6797.371323529413
6,Create Request for Quotation,0.75,6738.612132352941
7,Create Request for Quotation,0.875,6709.232536764706
8,Create Request for Quotation,0.9375,6694.542738970588
9,Create Request for Quotation,0.96875,6687.19784007353
10,Create Request for Quotation,0.984375,6683.525390625
11,Create Request for Quotation,0.9921875,6681.689165900736
12,Create Request for Quotation,0.99609375,6680.771053538603
13,Create Request for Quotation,0.998046875,6680.3119973639705
14,Create Request for Quotation,0.9990234375,6680.082469273897
15,Analyze Request for Quotation,0.0,599455.9891598916
16,Analyze Request for Quotation,1.0,4646770.303051494
17,Analyze Request for Quotation,0.5,426332.13515713974
18,Analyze Request for Quotation,0.25,574784.8324665609
19,Analyze Request for Quotation,0.375,565698.6743593384
20,Analyze Request for Quotation,0.4375,543289.0180868689
21,Analyze Request for Quotation,0.46875,526629.364789463
22,Analyze Request for Quotation,0.484375,548479.0732818134
23,Send Request for Quotation to Supplier,0.0,61774.14043583535
24,Send Request for Quotation to Supplier,1.0,5513038.178496617
25,Send Request for Quotation to Supplier,0.5,259163.46894127288
26,Send Request for Quotation to Supplier,0.25,47704.9393570418
27,Send Request for Quotation to Supplier,0.125,51673.11356989632
28,Send Request for Quotation to Supplier,0.1875,31288.701037128507
29,Send Request for Quotation to Supplier,0.21875,15602.607659542184
30,Send Request for Quotation to Supplier,0.203125,37988.52157489867
31,Create Quotation comparison Map,0.0,39190.31476997579
32,Create Quotation comparison Map,1.0,5316272.202204497
33,Create Quotation comparison Map,0.5,280353.91722552
34,Create Quotation comparison Map,0.25,26351.145604432462
35,Create Quotation comparison Map,0.125,31833.385706888097
36,Create Quotation comparison Map,0.1875,12416.085676153933
37,Create Quotation comparison Map,0.21875,10544.027216513512
38,Create Quotation comparison Map,0.203125,18831.23123027341
39,Analyze Quotation Comparison Map,0.0,25255.49636803874
40,Analyze Quotation Comparison Map,1.0,5658.450363196126
41,Analyze Quotation Comparison Map,0.5,15456.973365617434
42,Analyze Quotation Comparison Map,0.75,10557.711864406778
43,Analyze Quotation Comparison Map,0.875,8108.081113801452
44,Analyze Quotation Comparison Map,0.9375,6883.265738498789
45,Analyze Quotation Comparison Map,0.96875,6270.858050847458
46,Analyze Quotation Comparison Map,0.984375,5964.654207021793
47,Analyze Quotation Comparison Map,0.9921875,5811.552285108958
48,Analyze Quotation Comparison Map,0.99609375,5735.001324152542
49,Analyze Quotation Comparison Map,0.998046875,5696.72584366586
50,Analyze Quotation Comparison Map,0.9990234375,5677.588103426151
51,Choose best option,0.0,0.0
52,Choose best option,1.0,0.0
53,Choose best option,0.5,0.0
54,Settle Conditions With Supplier,0.0,75792.20338983051
55,Settle Conditions With Supplier,1.0,4934622.515777335
56,Settle Conditions With Supplier,0.5,256782.66474473855
57,Settle Conditions With Supplier,0.25,55865.61461114552
58,Settle Conditions With Supplier,0.125,64434.770939493654
59,Settle Conditions With Supplier,0.1875,43263.23623472595
60,Settle Conditions With Supplier,0.21875,33021.36564401639
61,Settle Conditions With Supplier,0.203125,51215.02048910824
62,Create Purchase Order,0.0,37491.7191283293
