,Activity,Alpha,W.Distance
0,Amend Request for Quotation,0.5,5770.425539102278
1,Amend Request for Quotation,0.45,5930.395469025483
2,Amend Request for Quotation,0.55,5650.6884313080445
3,Amend Request for Quotation,0.6,5689.044401759338
4,Amend Request for Quotation,0.65,5618.621508928089
5,Create Purchase Requisition,0.5,0.0
6,Create Purchase Requisition,0.45,0.0
7,Create Purchase Requisition,0.55,0.0
8,Pay Invoice,0.5,1742.2532703332818
9,Pay Invoice,0.45,1813.9954726883595
10,Pay Invoice,0.55,1651.3690619498486
11,Pay Invoice,0.6,1437.3291476604652
12,Pay Invoice,0.65,1476.2201621594636
13,Create Request for Quotation,0.5,6809.678049853576
14,Create Request for Quotation,0.45,6836.383036757354
15,Create Request for Quotation,0.55,6802.672373906119
16,Create Request for Quotation,0.6,6754.250981397168
17,Create Request for Quotation,0.65,6739.857032759447
18,Approve Purchase Order for payment,0.5,122607.23993282925
19,Approve Purchase Order for payment,0.45,230671.26662393587
20,Approve Purchase Order for payment,0.55,553431.5955154292
21,Send Invoice,0.5,102621.2569223052
22,Send Invoice,0.45,105133.60139348262
23,Send Invoice,0.55,62542.43067457259
24,Send Invoice,0.6,87066.52984172986
25,Send Invoice,0.65,49778.78866999894
26,Settle Conditions With Supplier,0.5,117631.64171451506
27,Settle Conditions With Supplier,0.45,430636.4370506725
28,Settle Conditions With Supplier,0.55,759763.8624119612
29,Release Supplier's Invoice,0.5,38233.57007426172
30,Release Supplier's Invoice,0.45,38518.589574360456
31,Release Supplier's Invoice,0.55,36650.36006297016
32,Release Supplier's Invoice,0.6,35232.602441936506
33,Release Supplier's Invoice,0.65,33768.29662484284
34,Analyze Request for Quotation,0.5,442887.99453277595
35,Analyze Request for Quotation,0.45,485471.0888529973
36,Analyze Request for Quotation,0.55,456867.81060094933
37,Release Purchase Order,0.5,16003.12295816839
38,Release Purchase Order,0.45,16087.091966260063
39,Release Purchase Order,0.55,14920.998843164758
40,Release Purchase Order,0.6,12299.302365172569
41,Release Purchase Order,0.65,11036.75197974583
42,Authorize Supplier's Invoice payment,0.5,1350.0413432508642
43,Authorize Supplier's Invoice payment,0.45,1247.0970945353272
44,Authorize Supplier's Invoice payment,0.4,1184.3900434247523
45,Authorize Supplier's Invoice payment,0.35,974.9536571811545
46,Analyze Quotation Comparison Map,0.5,16588.889140119427
47,Analyze Quotation Comparison Map,0.45,18110.706233231598
48,Analyze Quotation Comparison Map,0.55,16518.863485481812
49,Analyze Quotation Comparison Map,0.6,15064.542125546976
50,Analyze Quotation Comparison Map,0.65,14256.2147591816
51,Create Purchase Order,0.5,140083.3500639309
52,Create Purchase Order,0.45,344911.0310933795
53,Create Purchase Order,0.55,423091.5185446591
54,Analyze Purchase Requisition,0.5,61132.4565995211
55,Analyze Purchase Requisition,0.45,61139.80129205827
56,Analyze Purchase Requisition,0.55,60851.29347600291
57,Analyze Purchase Requisition,0.6,60816.34253453433
58,Analyze Purchase Requisition,0.65,60778.50033033755
59,Choose best option,0.5,0.0
60,Choose best option,0.45,0.0
61,Choose best option,0.55,0.0
62,Settle Dispute With Supplier,0.5,12464.92718547675
63,Settle Dispute With Supplier,0.45,12352.837988462261
64,Settle Dispute With Supplier,0.4,12735.950172050767
65,Send Request for Quotation to Supplier,0.5,116150.82803271335
66,Send Request for Quotation to Supplier,0.45,365718.7188400708
67,Send Request for Quotation to Supplier,0.55,386720.82396683434
68,Amend Purchase Requisition,0.5,39217.49556309091
69,Amend Purchase Requisition,0.45,41469.02004562121
70,Amend Purchase Requisition,0.55,37855.78922605454
71,Amend Purchase Requisition,0.6,38397.23289657218
72,Amend Purchase Requisition,0.65,41301.349989454546
73,Confirm Purchase Order,0.5,106856.56613231698
74,Confirm Purchase Order,0.45,101179.494430449
75,Confirm Purchase Order,0.4,114903.6010741715
76,Deliver Goods Services,0.5,208642.31080268606
77,Deliver Goods Services,0.45,213528.83829276776
78,Deliver Goods Services,0.55,193747.7485640786
79,Deliver Goods Services,0.6,174086.03375583055
80,Deliver Goods Services,0.65,189141.98266441905
81,Create Quotation comparison Map,0.5,135716.02148285526
82,Create Quotation comparison Map,0.45,357341.9085454978
83,Create Quotation comparison Map,0.55,322569.18104325555
