,Activity,Alpha,W.Distance
0,Create Purchase Requisition,0.0,0.0
1,Create Purchase Requisition,1.0,0.0
2,Create Purchase Requisition,0.5,0.0
3,Create Request for Quotation,0.0,6914.889705882352
4,Create Request for Quotation,1.0,6684.667935449148
5,Create Request for Quotation,0.5,6810.162723164641
6,Create Request for Quotation,0.75,6696.732145974604
7,Create Request for Quotation,0.875,6728.72421131642
8,Create Request for Quotation,0.9375,6697.468729187098
9,Create Request for Quotation,0.90625,6703.143710012464
10,Analyze Request for Quotation,0.0,599455.9891598916
11,Analyze Request for Quotation,1.0,4055794.6987788575
12,Analyze Request for Quotation,0.5,442721.59229762823
13,Analyze Request for Quotation,0.25,576619.0348823934
14,Analyze Request for Quotation,0.375,563746.0191529396
15,Analyze Request for Quotation,0.4375,534025.4964381851
16,Analyze Request for Quotation,0.46875,533133.640503178
17,Analyze Request for Quotation,0.484375,527744.125694555
18,Analyze Request for Quotation,0.4921875,534898.904426469
19,Analyze Request for Quotation,0.49609375,534402.6536516824
20,Analyze Request for Quotation,0.498046875,537229.7236329848
21,Analyze Request for Quotation,0.4990234375,536274.8193444851
22,Send Request for Quotation to Supplier,0.0,61774.14043583535
23,Send Request for Quotation to Supplier,1.0,5029879.155717618
24,Send Request for Quotation to Supplier,0.5,414229.6684542023
25,Send Request for Quotation to Supplier,0.25,50529.32839101435
26,Send Request for Quotation to Supplier,0.125,50178.06101847106
27,Send Request for Quotation to Supplier,0.1875,20666.799446557998
28,Send Request for Quotation to Supplier,0.15625,27305.209780820536
29,Send Request for Quotation to Supplier,0.171875,18613.673023417705
30,Send Request for Quotation to Supplier,0.1796875,26434.247994328485
31,Send Request for Quotation to Supplier,0.17578125,12335.525359880081
32,Send Request for Quotation to Supplier,0.173828125,29598.734376006993
33,Send Request for Quotation to Supplier,0.1748046875,26727.006004042494
34,Create Quotation comparison Map,0.0,39190.31476997579
35,Create Quotation comparison Map,1.0,4970754.36406688
36,Create Quotation comparison Map,0.5,441730.9563535807
37,Create Quotation comparison Map,0.25,27911.0209441166
38,Create Quotation comparison Map,0.125,29611.51639782103
39,Create Quotation comparison Map,0.1875,5810.758144699313
40,Create Quotation comparison Map,0.21875,7965.54980554824
41,Create Quotation comparison Map,0.203125,9277.281143492643
42,Analyze Quotation Comparison Map,0.0,25255.49636803874
43,Analyze Quotation Comparison Map,1.0,8004.098506634545
44,Analyze Quotation Comparison Map,0.5,17243.88081299614
45,Analyze Quotation Comparison Map,0.75,12449.921891828717
46,Analyze Quotation Comparison Map,0.875,9655.069140045884
47,Analyze Quotation Comparison Map,0.9375,9248.906235970038
48,Analyze Quotation Comparison Map,0.96875,9681.455104122693
49,Analyze Quotation Comparison Map,0.984375,8640.471473425501
50,Analyze Quotation Comparison Map,0.9921875,7991.720347409964
51,Analyze Quotation Comparison Map,0.99609375,8407.270442923835
52,Analyze Quotation Comparison Map,0.994140625,9071.099252911903
53,Choose best option,0.0,0.0
54,Choose best option,1.0,0.0
55,Choose best option,0.5,0.0
56,Settle Conditions With Supplier,0.0,75792.20338983051
57,Settle Conditions With Supplier,1.0,4721142.7204027055
58,Settle Conditions With Supplier,0.5,420365.1086609464
59,Settle Conditions With Supplier,0.25,56965.76005414554
60,Settle Conditions With Supplier,0.125,61428.52578566623
61,Settle Conditions With Supplier,0.1875,35859.858586710914
