,Activity,Alpha,W.Distance
0,Create Request for Quotation,0.5,6832.975494927479
1,Create Request for Quotation,0.45,6836.742901567334
2,Create Request for Quotation,0.55,6795.998914915441
3,Create Request for Quotation,0.6,6758.323705919118
4,Create Request for Quotation,0.65,6750.299139232446
5,Pay Invoice,0.5,1569.3160742539546
6,Pay Invoice,0.45,1820.872586736118
7,Pay Invoice,0.55,1630.0768884856739
8,Create Quotation comparison Map,0.5,347476.9746011867
9,Create Quotation comparison Map,0.45,496329.45850008307
10,Create Quotation comparison Map,0.55,351420.0049853892
11,Settle Dispute With Supplier,0.5,12370.54201996684
12,Settle Dispute With Supplier,0.45,12359.937603053113
13,Settle Dispute With Supplier,0.4,12925.428198761056
14,Analyze Purchase Requisition,0.5,61079.02889611089
15,Analyze Purchase Requisition,0.45,61232.942213839146
16,Analyze Purchase Requisition,0.55,61001.09856978542
17,Analyze Purchase Requisition,0.6,61148.559755610506
18,Approve Purchase Order for payment,0.5,296628.59466315206
19,Approve Purchase Order for payment,0.45,419144.04465628316
20,Approve Purchase Order for payment,0.55,538330.727831568
21,Release Purchase Order,0.5,16094.78520994566
22,Release Purchase Order,0.45,16087.07570800851
23,Release Purchase Order,0.4,17349.69140660312
24,Create Purchase Order,0.5,339478.48578889197
25,Create Purchase Order,0.45,183228.1890731018
26,Create Purchase Order,0.4,699609.4436709317
27,Authorize Supplier's Invoice payment,0.5,1137.5561544751208
28,Authorize Supplier's Invoice payment,0.45,1216.2497841457375
29,Authorize Supplier's Invoice payment,0.55,1273.6762206238873
30,Choose best option,0.5,0.0
31,Choose best option,0.45,0.0
32,Choose best option,0.55,0.0
33,Deliver Goods Services,0.5,207467.49979129856
34,Deliver Goods Services,0.45,241855.60713421574
35,Deliver Goods Services,0.55,196930.7764227019
36,Deliver Goods Services,0.6,206385.37245884974
37,Deliver Goods Services,0.65,193009.14033970545
38,Analyze Request for Quotation,0.5,317326.63533764187
39,Analyze Request for Quotation,0.45,485037.01375896385
40,Analyze Request for Quotation,0.55,524170.4637486917
41,Send Invoice,0.5,73141.03003661157
42,Send Invoice,0.45,60376.99668404844
43,Send Invoice,0.4,55871.75282821643
44,Send Invoice,0.35,108706.68203055258
45,Release Supplier's Invoice,0.5,38232.95267513992
46,Release Supplier's Invoice,0.45,40896.34964978668
47,Release Supplier's Invoice,0.55,36673.956452021164
48,Release Supplier's Invoice,0.6,35145.79239822979
49,Release Supplier's Invoice,0.65,33689.447233689905
50,Send Request for Quotation to Supplier,0.5,322691.7043941919
51,Send Request for Quotation to Supplier,0.45,435613.9677486124
52,Send Request for Quotation to Supplier,0.55,814880.4947758972
53,Create Purchase Requisition,0.5,0.0
54,Create Purchase Requisition,0.45,0.0
55,Create Purchase Requisition,0.55,0.0
56,Analyze Quotation Comparison Map,0.5,16841.911843263
57,Analyze Quotation Comparison Map,0.45,17750.684556603097
58,Analyze Quotation Comparison Map,0.55,16082.843387777526
59,Analyze Quotation Comparison Map,0.6,15139.978001968482
60,Analyze Quotation Comparison Map,0.65,14305.260244102155
61,Amend Request for Quotation,0.5,5741.860495683431
62,Amend Request for Quotation,0.45,5898.780708312919
63,Amend Request for Quotation,0.55,5765.193888578446
64,Settle Conditions With Supplier,0.5,326706.231097628
65,Settle Conditions With Supplier,0.45,154304.90586192423
66,Settle Conditions With Supplier,0.4,527794.3195682829
67,Amend Purchase Requisition,0.5,43010.50770215454
68,Amend Purchase Requisition,0.45,43275.07088967677
69,Amend Purchase Requisition,0.55,41127.6800343007
70,Amend Purchase Requisition,0.6,40167.009543704546
71,Amend Purchase Requisition,0.65,39900.62233045454
72,Confirm Purchase Order,0.5,94861.80123938932
73,Confirm Purchase Order,0.45,93809.22393488837
74,Confirm Purchase Order,0.4,118866.88946143659
