,Activity,Alpha,W.Distance
0,Start,1,0.0
1,Turning & Milling,1,1547773.5124119078
2,Turning & Milling Q.C.,1,1591346.8394343588
3,Laser Marking,1,11346656.229408905
4,Lapping,1,4936435.7566469945
5,Round Grinding,1,1826288.1133690013
6,Final Inspection Q.C.,1,3865558.2135689002
7,Packing,1,26381673.770699006
8,End,1,5813.261812588235
9,Turning Q.C.,1,4057748.397520124
10,Flat Grinding,1,2731950.956930005
11,Grinding Rework,1,2138029.5926345545
12,Setup,1,2112137.0944049996
13,Turning,1,54115.275590551144
14,SETUP     Turning & Milling,1,288358.735084
15,Final Inspection,1,36060.0
16,Rework Milling,1,284779.889143
17,Milling Q.C.,1,0.0
18,Milling,1,677825.316002875
19,Fix,1,373510.0
20,Round  Q.C.,1,4359520.793758
21,Stress Relief,1,7300.000000000002
22,Turning Rework,1,38636684.234995
23,Change Version,1,21560.0
24,Turn & Mill. & Screw Assem,1,495756.7741572
25,Nitration Q.C.,1,25414657.012775004
