,Activity,Alpha,W.Distance
0,Start,0.0,0.0
1,Start,1.0,0.0
2,Start,0.5,0.0
11,Turning & Milling,0.0,36287.238162502574
12,Turning & Milling,1.0,1715951.6017765398
13,Turning & Milling,0.5,482160.31316642254
14,Turning & Milling,0.25,200394.32406567404
15,Turning & Milling,0.125,39105.303619329505
16,Turning & Milling,0.0625,35741.762936052895
17,Turning & Milling,0.03125,35130.297006918925
18,Turning & Milling,0.046875,35221.98922218189
19,Turning & Milling,0.0390625,36161.13829376658
22,Turning & Milling Q.C.,0.0,71525.2307877475
23,Turning & Milling Q.C.,1.0,3460876.123513641
24,Turning & Milling Q.C.,0.5,1297383.3849975527
25,Turning & Milling Q.C.,0.25,423861.78924219974
26,Turning & Milling Q.C.,0.125,72845.25506519011
27,Turning & Milling Q.C.,0.0625,75077.07570510182
33,Laser Marking,0.0,134521.42857142858
34,Laser Marking,1.0,5613072.9127809135
35,Laser Marking,0.5,133925.48126439683
36,Laser Marking,0.25,1520421.449820436
44,Lapping,0.0,205825.6216216215
45,Lapping,1.0,1304769.04514771
46,Lapping,0.5,582783.1180946828
47,Lapping,0.25,3184954.2216948783
55,Round Grinding,0.0,56891.87503642827
56,Round Grinding,1.0,2265697.093715434
57,Round Grinding,0.5,429298.39867582166
58,Round Grinding,0.25,224397.29249001207
59,Round Grinding,0.125,59439.46946331029
60,Round Grinding,0.0625,69320.95268288937
66,Final Inspection Q.C.,0.0,105125.21798907808
67,Final Inspection Q.C.,1.0,4248467.578899047
68,Final Inspection Q.C.,0.5,867090.7785712646
69,Final Inspection Q.C.,0.25,303332.6495477522
70,Final Inspection Q.C.,0.125,102087.87548933979
71,Final Inspection Q.C.,0.0625,94396.75783606718
72,Final Inspection Q.C.,0.09375,125601.40942095502
77,Packing,0.0,105436.58492053617
78,Packing,1.0,33733370.020654306
79,Packing,0.5,10600309.36232684
80,Packing,0.25,4654408.226959197
81,Packing,0.125,135761.92682720424
82,Packing,0.0625,71835.42559481488
83,Packing,0.03125,101102.21203543837
84,Packing,0.046875,86146.07951780029
85,Packing,0.0546875,87870.85023650226
88,End,0.0,14123.076923076918
89,End,1.0,5771.554881666667
90,End,0.5,1118487.3843018997
99,Turning Q.C.,0.0,23738.207792207802
100,Turning Q.C.,1.0,3597108.5308420085
101,Turning Q.C.,0.5,1430212.4617207414
102,Turning Q.C.,0.25,213600.4124372888
103,Turning Q.C.,0.125,43522.961769574125
104,Turning Q.C.,0.0625,33440.72434542517
105,Turning Q.C.,0.03125,53846.26067691497
110,Flat Grinding,0.0,69264.3859649123
111,Flat Grinding,1.0,3592866.1487244526
112,Flat Grinding,0.5,1229671.606125726
113,Flat Grinding,0.25,422882.7997641243
114,Flat Grinding,0.125,66343.56353517296
115,Flat Grinding,0.0625,63875.01921600952
116,Flat Grinding,0.09375,68045.17889229779
121,Grinding Rework,0.0,326242.9062346588
122,Grinding Rework,1.0,5517110.372382276
123,Grinding Rework,0.5,934366.0735665524
124,Grinding Rework,0.25,577957.2922031675
125,Grinding Rework,0.125,298364.39854888356
126,Grinding Rework,0.0625,302043.4539630548
127,Grinding Rework,0.09375,297851.0805927858
128,Grinding Rework,0.109375,289895.9652740358
129,Grinding Rework,0.1015625,281476.447969454
130,Grinding Rework,0.10546875,302448.88963787974
132,Setup,0.0,201670.0
133,Setup,1.0,108585.46161175
134,Setup,0.5,216897.31192900002
143,Turning,0.0,44628.031496062955
144,Turning,1.0,54115.275590551144
145,Turning,0.5,54115.275590551144
154,SETUP     Turning & Milling,0.0,123693.33333333334
155,SETUP     Turning & Milling,1.0,229661.73814024997
156,SETUP     Turning & Milling,0.5,241236.41866174998
165,Final Inspection,0.0,36060.0
166,Final Inspection,1.0,36060.0
167,Final Inspection,0.5,36060.0
176,Rework Milling,0.0,82300.0
177,Rework Milling,1.0,187335.320251
178,Rework Milling,0.5,120571.744169
179,Rework Milling,0.25,545216.733238
187,Milling Q.C.,0.0,273600.0
188,Milling Q.C.,1.0,0.0
189,Milling Q.C.,0.5,483734.814636
198,Milling,0.0,53417.6551724138
199,Milling,1.0,3263752.3012202578
200,Milling,0.5,161850.6301415
201,Milling,0.25,345482.39512458054
209,Fix,0.0,251304.28571428568
210,Fix,1.0,373510.0
211,Fix,0.5,5149753.107023
220,Round  Q.C.,0.0,194190.0
221,Round  Q.C.,1.0,2552356.80521
222,Round  Q.C.,0.5,752987.45372925
223,Round  Q.C.,0.25,478870.33976712497
224,Round  Q.C.,0.125,187253.60368389997
225,Round  Q.C.,0.0625,204307.46783625
231,Stress Relief,0.0,111500.0
232,Stress Relief,1.0,60422.59478
233,Stress Relief,0.5,7300.000000000002
234,Stress Relief,0.75,7300.000000000002
242,Turning Rework,0.0,422373.3333333334
243,Turning Rework,1.0,35617990.98353
244,Turning Rework,0.5,399560.00000000006
245,Turning Rework,0.25,399560.00000000006
253,Change Version,0.0,23025.0
254,Change Version,1.0,47415.0
255,Change Version,0.5,47415.0
264,Turn & Mill. & Screw Assem,0.0,88566.85714285716
265,Turn & Mill. & Screw Assem,1.0,6302952.5317918565
266,Turn & Mill. & Screw Assem,0.5,105718.32210655717
267,Turn & Mill. & Screw Assem,0.25,120622.628046123
275,Nitration Q.C.,0.0,894900.0
276,Nitration Q.C.,1.0,3953008.3027729997
277,Nitration Q.C.,0.5,11820631.208319
