,Activity,Alpha,W.Distance
0,Start,0.0,0.0
1,Start,1.0,0.0
2,Start,0.5,0.0
3,Turning & Milling,0.0,35926.295647336956
4,Turning & Milling,1.0,1852482.0473294996
5,Turning & Milling,0.5,572022.7422300347
6,Turning & Milling,0.25,198858.994313497
7,Turning & Milling,0.125,33618.114901835375
8,Turning & Milling,0.0625,36690.392906866444
9,Turning & Milling,0.09375,32611.219288830725
10,Turning & Milling,0.078125,34822.17507331226
11,Turning & Milling,0.0859375,30748.975135185556
12,Turning & Milling,0.08203125,31763.40783839153
13,Turning & Milling,0.083984375,32225.89021163805
14,Turning & Milling,0.0849609375,49531.07247455295
15,Turning & Milling Q.C.,0.0,64084.70848912894
16,Turning & Milling Q.C.,1.0,2265639.507230091
17,Turning & Milling Q.C.,0.5,1021666.7572717271
18,Turning & Milling Q.C.,0.25,898107.496648328
19,Turning & Milling Q.C.,0.125,76330.8490987414
20,Turning & Milling Q.C.,0.0625,87173.8505085655
21,Turning & Milling Q.C.,0.03125,66762.45161913522
22,Turning & Milling Q.C.,0.015625,113385.63154626341
23,Laser Marking,0.0,123285.06493506493
24,Laser Marking,1.0,134521.42857142858
25,Laser Marking,0.5,908652.6829894286
26,Laser Marking,0.25,9595639.030901322
27,Laser Marking,0.375,102681.99028114285
28,Laser Marking,0.3125,111680.73724265078
29,Lapping,0.0,205825.6216216215
30,Lapping,1.0,813998.6501293242
31,Lapping,0.5,205825.6216216215
32,Lapping,0.25,3513389.5540948785
33,Lapping,0.125,102628.76902348912
34,Lapping,0.1875,205825.6216216215
35,Round Grinding,0.0,56656.49279551527
36,Round Grinding,1.0,1774606.0737896082
37,Round Grinding,0.5,532885.5108019786
38,Round Grinding,0.25,255174.72041026095
39,Round Grinding,0.125,57265.1418681986
40,Round Grinding,0.0625,58857.265062660284
41,Round Grinding,0.03125,54645.470353443336
42,Round Grinding,0.046875,83700.87774937475
43,Round Grinding,0.0546875,57841.19163803872
44,Final Inspection Q.C.,0.0,106022.21040943795
45,Final Inspection Q.C.,1.0,3525449.469860684
46,Final Inspection Q.C.,0.5,1576795.2090776414
47,Final Inspection Q.C.,0.25,467742.07030229294
48,Final Inspection Q.C.,0.125,96079.17325223723
49,Final Inspection Q.C.,0.0625,99713.52730386492
50,Final Inspection Q.C.,0.09375,142169.85138685693
51,Final Inspection Q.C.,0.109375,120971.86787133155
52,Final Inspection Q.C.,0.1015625,89125.95350740259
53,Final Inspection Q.C.,0.10546875,105211.56970026292
54,Packing,0.0,96575.24057525009
55,Packing,1.0,26708592.8086341
56,Packing,0.5,12371725.79629427
57,Packing,0.25,4821807.420705923
58,Packing,0.125,197233.35992868082
59,Packing,0.0625,77563.67908067166
60,Packing,0.03125,173707.6743383595
61,Packing,0.046875,202233.0770679912
62,Packing,0.0546875,76546.39009476239
63,Packing,0.05859375,86061.72851512
64,End,0.0,11700.0
65,End,1.0,230750.70423242866
66,End,0.5,40514.147885555554
67,End,0.25,108515.0998476875
68,End,0.125,12191.140850333333
69,End,0.1875,4240.7140201249995
70,End,0.15625,4821.008882666667
71,End,0.140625,7601.11808025
72,End,0.1484375,4792.649513142856
73,End,0.15234375,4340.2795023
74,Turning Q.C.,0.0,28273.111989459816
75,Turning Q.C.,1.0,2669042.259204196
76,Turning Q.C.,0.5,1457262.0519902122
77,Turning Q.C.,0.25,589127.2131550583
78,Turning Q.C.,0.125,28690.92322067954
79,Turning Q.C.,0.0625,30503.4409802407
80,Turning Q.C.,0.03125,40653.72921886235
81,Flat Grinding,0.0,75486.01380500435
82,Flat Grinding,1.0,2805501.4589342754
83,Flat Grinding,0.5,1358127.8682553712
84,Flat Grinding,0.25,364652.0440369859
85,Flat Grinding,0.125,79075.2777050949
86,Flat Grinding,0.0625,68936.00774397049
87,Flat Grinding,0.03125,77111.11795738304
88,Flat Grinding,0.046875,65044.024153975624
89,Flat Grinding,0.0546875,70675.24881970834
90,Flat Grinding,0.05078125,70922.12466317693
91,Grinding Rework,0.0,332008.0542398068
92,Grinding Rework,1.0,2221355.7938686786
93,Grinding Rework,0.5,476717.6866222725
94,Grinding Rework,0.25,467048.45072710374
95,Grinding Rework,0.125,316635.55679440295
96,Grinding Rework,0.0625,308584.54443186615
97,Grinding Rework,0.09375,286484.06764003326
98,Grinding Rework,0.078125,296807.12494234927
99,Grinding Rework,0.0859375,300399.0917067106
100,Grinding Rework,0.08984375,294177.6602753804
101,Grinding Rework,0.091796875,294641.04610102193
102,Setup,0.0,383070.0
103,Setup,1.0,77652.908755
104,Setup,0.5,28774.70355
105,Setup,0.75,5730.0
106,Setup,0.625,126321.5415065
107,Setup,0.6875,124996.01840833336
108,Setup,0.71875,191246.73897266667
109,Turning,0.0,54115.275590551144
110,Turning,1.0,54115.275590551144
111,Turning,0.5,124771.92823451573
112,SETUP     Turning & Milling,0.0,144626.6666666667
113,SETUP     Turning & Milling,1.0,388814.22769525007
114,SETUP     Turning & Milling,0.5,132689.28947166668
115,SETUP     Turning & Milling,0.25,202337.2549912857
116,SETUP     Turning & Milling,0.375,259138.43068033335
117,SETUP     Turning & Milling,0.3125,127440.41085074999
118,SETUP     Turning & Milling,0.34375,153603.4990374
119,SETUP     Turning & Milling,0.359375,149626.11511266668
120,SETUP     Turning & Milling,0.3515625,339342.06610349996
121,SETUP     Turning & Milling,0.34765625,136600.9986085
122,SETUP     Turning & Milling,0.345703125,169805.2021791667
123,Final Inspection,0.0,230340.0
124,Final Inspection,1.0,20076960.785569
125,Final Inspection,0.5,1590987.657388
126,Final Inspection,0.25,1030720.8227275
127,Final Inspection,0.125,36060.0
128,Final Inspection,0.0625,36060.0
129,Final Inspection,0.09375,479754.939718
130,Rework Milling,0.0,358100.0
