concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,start:timestamp,case:concept:name,case:variant,case:variant-index,case:creator
Start,complete,Start,2012-01-30 06:24:00+00:00,Start,Start,2012-01-30 06:24:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4932,2012-01-30 12:43:00+00:00,Turning & Milling,ID4932,2012-01-30 12:28:11.718750+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4932,2012-01-30 13:42:00+00:00,Turning & Milling,ID4932,2012-01-30 13:39:41.718750+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4167,2012-01-30 14:21:00+00:00,Turning & Milling,ID4167,2012-01-30 14:19:28.593750+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4167,2012-01-30 17:58:00+00:00,Turning & Milling,ID4167,2012-01-30 17:49:31.406250+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling Q.C.,complete,ID4163,2012-01-31 21:50:00+00:00,Turning & Milling Q.C.,ID4163,2012-01-31 20:05:30+00:00,Case1,Variant 7,7,Fluxicon Disco
Laser Marking,complete,ID0998,2012-02-01 15:27:00+00:00,Laser Marking,ID0998,2012-02-01 11:02:45+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 08:15:00+00:00,Lapping,ID4882,2012-02-13 23:48:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 08:15:00+00:00,Lapping,ID4882,2012-02-14 08:15:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 16:38:00+00:00,Lapping,ID4882,2012-02-14 14:32:15+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 17:20:00+00:00,Lapping,ID4882,2012-02-14 17:09:30+00:00,Case1,Variant 7,7,Fluxicon Disco
Round Grinding,complete,ID4445,2012-02-14 20:37:00+00:00,Round Grinding,ID4445,2012-02-14 20:24:41.250000+00:00,Case1,Variant 7,7,Fluxicon Disco
Round Grinding,complete,ID4445,2012-02-14 22:27:00+00:00,Round Grinding,ID4445,2012-02-14 22:20:07.500000+00:00,Case1,Variant 7,7,Fluxicon Disco
Final Inspection Q.C.,complete,ID4493,2012-02-16 14:59:00+00:00,Final Inspection Q.C.,ID4493,2012-02-16 11:11:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Final Inspection Q.C.,complete,ID4493,2012-02-16 20:58:00+00:00,Final Inspection Q.C.,ID4493,2012-02-16 20:24:20.625000+00:00,Case1,Variant 7,7,Fluxicon Disco
Final Inspection Q.C.,complete,ID4493,2012-02-16 23:12:00+00:00,Final Inspection Q.C.,ID4493,2012-02-16 22:59:26.250000+00:00,Case1,Variant 7,7,Fluxicon Disco
Packing,complete,ID4820,2012-02-17 08:00:00+00:00,Packing,ID4820,2012-02-17 07:31:07.500000+00:00,Case1,Variant 7,7,Fluxicon Disco
End,complete,End,2012-02-17 08:00:00+00:00,End,End,2012-02-17 08:00:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Start,complete,Start,2012-01-17 14:01:00+00:00,Start,Start,2012-01-17 14:01:00+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID3846,2012-01-17 18:05:00+00:00,Turning & Milling,ID3846,2012-01-17 17:55:28.125000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning Q.C.,complete,ID4618,2012-01-17 18:15:00+00:00,Turning Q.C.,ID4618,2012-01-17 18:14:54.375000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-18 03:01:00+00:00,Turning & Milling,ID4132,2012-01-18 02:40:27.187500+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-18 06:43:00+00:00,Turning & Milling,ID4132,2012-01-18 06:42:57.656250+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4794,2012-01-18 13:32:00+00:00,Turning & Milling,ID4794,2012-01-18 13:16:01.406250+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID3846,2012-01-18 14:24:00+00:00,Turning & Milling,ID3846,2012-01-18 14:21:58.125000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-19 00:55:00+00:00,Turning & Milling,ID4132,2012-01-19 00:50:49.218750+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-19 03:04:00+00:00,Turning & Milling,ID4132,2012-01-19 02:58:57.656250+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4794,2012-01-19 13:29:00+00:00,Turning & Milling,ID4794,2012-01-19 13:04:35.156250+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-20 01:09:00+00:00,Turning & Milling,ID4132,2012-01-20 00:41:39.375000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-20 03:08:00+00:00,Turning & Milling,ID4132,2012-01-20 03:03:21.093750+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4794,2012-01-20 12:10:00+00:00,Turning & Milling,ID4794,2012-01-20 11:48:49.687500+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4641,2012-01-22 13:34:00+00:00,Turning & Milling,ID4641,2012-01-22 11:38:13.125000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID3846,2012-01-22 14:13:00+00:00,Turning & Milling,ID3846,2012-01-22 14:11:28.593750+00:00,Case10,Variant 8,8,Fluxicon Disco
