,Activity,Alpha,W.Distance
0,Start,0.98,18534956.42377066
1,Start,0.88,15184391.0326172
2,Start,0.78,20189324.37744651
3,Turning & Milling,0.8,17811337.02762357
4,Turning & Milling,0.7,19255755.36049726
5,Turning & Milling,0.9,19610445.43332871
6,Turning & Milling Q.C.,0.33,17676283.642326508
7,Turning & Milling Q.C.,0.23,20813493.90640856
8,Turning & Milling Q.C.,0.43,18905510.68840914
9,Laser Marking,0.19,17744292.67200349
10,Laser Marking,0.09,18089161.847249597
11,Laser Marking,0.29,16956625.58146001
12,Laser Marking,0.39,20470346.170110576
13,Lapping,0.97,21768040.003964994
14,Lapping,0.87,19137986.956327334
15,Lapping,0.77,16557350.935732532
16,Lapping,0.67,18432557.282439407
17,Round Grinding,0.71,19217126.71240675
18,Round Grinding,0.61,16414166.392032128
19,Round Grinding,0.51,15396920.817756489
20,Round Grinding,0.41,16599445.800779356
21,Final Inspection Q.C.,0.69,13873375.501004372
22,Final Inspection Q.C.,0.59,17496926.035833124
23,Final Inspection Q.C.,0.79,15866895.525211183
24,Packing,0.89,19073967.961580303
25,Packing,0.79,13514221.612194091
26,Packing,0.69,14890319.452291068
27,End,0.69,15321241.44131728
28,End,0.59,14902910.387866098
29,End,0.49,14963347.760022487
30,Turning Q.C.,0.56,14537956.017910043
31,Turning Q.C.,0.46,16317056.756216625
32,Turning Q.C.,0.66,15622704.086777084
33,Flat Grinding,0.43,17722516.617572665
34,Flat Grinding,0.33,16639809.35005865
35,Flat Grinding,0.23,13761611.816800356
36,Flat Grinding,0.13,14482759.895127423
37,Grinding Rework,0.92,14798078.142646903
38,Grinding Rework,0.82,19307913.20155977
39,Setup,0.26,14237867.841338221
40,Setup,0.16,14597932.315190237
41,Setup,0.36,14202378.870829891
42,Setup,0.46,16098863.078840513
43,Turning,0.79,14451908.138400104
44,Turning,0.69,19162493.41874435
45,Turning,0.89,13587825.410598263
46,Turning,0.99,15250011.914540436
47,SETUP     Turning & Milling,0.49,15270707.28818921
48,SETUP     Turning & Milling,0.39,19487327.39077185
49,SETUP     Turning & Milling,0.59,15611223.013004152
50,Final Inspection,0.15,18767947.069979463
51,Final Inspection,0.05,15411458.742509644
52,Rework Milling,0.32,14001438.14764936
53,Rework Milling,0.22,12165802.52464614
54,Rework Milling,0.12,15114676.954172553
55,Milling Q.C.,0.59,13787794.387130685
56,Milling Q.C.,0.49,16818592.6210517
57,Milling Q.C.,0.69,14643395.84879907
58,Milling,0.21,16688218.694193926
59,Milling,0.11,16469922.838966222
60,Milling,0.01,16682273.19266707
61,Fix,0.65,15785672.142215323
62,Fix,0.55,11861091.255159035
63,Fix,0.45,20387741.133145284
64,Round  Q.C.,0.98,16449490.696735779
65,Round  Q.C.,0.88,15957699.568045724
66,Round  Q.C.,0.78,19629318.032344084
67,Stress Relief,0.84,16691807.31327679
68,Stress Relief,0.74,17419308.962242715
69,Stress Relief,0.94,15427291.106956586
70,Turning Rework,0.31,18112070.004200246
71,Turning Rework,0.21,15069443.552408198
72,Turning Rework,0.11,13288217.392183766
73,Turning Rework,0.01,14267933.407473378
74,Change Version,0.59,19499789.965352207
75,Change Version,0.49,13199678.141038265
76,Change Version,0.39,16338838.441439833
77,Turn & Mill. & Screw Assem,0.9,17248287.99178057
78,Turn & Mill. & Screw Assem,0.8,17917341.95645188
79,Nitration Q.C.,0.86,17789204.409296233
80,Nitration Q.C.,0.76,14006195.398443012
81,Nitration Q.C.,0.66,14458870.928596035
