,Activity,Alpha,W.Distance
0,Start,0.82,19272414.628929906
1,Start,0.72,27637004.377734214
2,Start,0.62,25725484.49896636
3,Start,0.52,25200234.229897395
4,Turning & Milling,0.38,19272414.628929906
5,Turning & Milling,0.28,27637004.377734214
6,Turning & Milling,0.18,25725484.49896636
7,Turning & Milling Q.C.,0.28,19272414.628929906
8,Turning & Milling Q.C.,0.18,27637004.377734214
9,Turning & Milling Q.C.,0.08,25725484.49896636
10,Laser Marking,0.78,19272414.628929906
11,Laser Marking,0.68,27637004.377734214
12,Laser Marking,0.58,25725484.49896636
13,Laser Marking,0.48,25200234.229897395
14,Lapping,0.68,19272414.628929906
15,Lapping,0.58,27637004.377734214
16,Lapping,0.78,25725484.49896636
17,Round Grinding,0.94,19272414.628929906
18,Round Grinding,0.84,27637004.377734214
19,Round Grinding,0.74,25725484.49896636
20,Round Grinding,0.64,25200234.229897395
21,Final Inspection Q.C.,0.89,19272414.628929906
22,Final Inspection Q.C.,0.79,27637004.377734214
23,Final Inspection Q.C.,0.99,25725484.49896636
24,Packing,0.94,19272414.628929906
25,Packing,0.84,27637004.377734214
26,End,0.42,19272414.628929906
27,End,0.32,27637004.377734214
28,End,0.22,25725484.49896636
29,End,0.12,25200234.229897395
30,Turning Q.C.,0.24,19272414.628929906
31,Turning Q.C.,0.14,27637004.377734214
32,Turning Q.C.,0.34,25725484.49896636
33,Flat Grinding,0.66,19272414.628929906
34,Flat Grinding,0.56,27637004.377734214
35,Flat Grinding,0.46,25725484.49896636
36,Grinding Rework,0.53,19272414.628929906
37,Grinding Rework,0.43,27637004.377734214
38,Grinding Rework,0.63,25725484.49896636
39,Setup,0.1,19272414.628929906
40,Setup,0.2,27637004.377734214
41,Turning,0.39,19272414.628929906
42,Turning,0.29,27637004.377734214
43,Turning,0.49,25725484.49896636
44,Turning,0.59,25200234.229897395
45,SETUP     Turning & Milling,0.13,19272414.628929906
46,SETUP     Turning & Milling,0.03,27637004.377734214
47,SETUP     Turning & Milling,0.23,25725484.49896636
48,Final Inspection,0.91,19272414.628929906
49,Final Inspection,0.81,27637004.377734214
50,Final Inspection,0.71,25725484.49896636
51,Final Inspection,0.61,25200234.229897395
52,Rework Milling,0.19,19272414.628929906
53,Rework Milling,0.09,27637004.377734214
54,Rework Milling,0.29,25725484.49896636
55,Milling Q.C.,0.78,19272414.628929906
56,Milling Q.C.,0.68,27637004.377734214
57,Milling Q.C.,0.58,25725484.49896636
58,Milling Q.C.,0.48,25200234.229897395
59,Milling,0.31,19272414.628929906
60,Milling,0.21,27637004.377734214
61,Milling,0.11,25725484.49896636
62,Milling,0.01,25200234.229897395
63,Fix,0.33,19272414.628929906
64,Fix,0.23,27637004.377734214
65,Fix,0.43,25725484.49896636
66,Round  Q.C.,0.19,19272414.628929906
67,Round  Q.C.,0.09,27637004.377734214
68,Stress Relief,0.55,19272414.628929906
69,Stress Relief,0.45,27637004.377734214
70,Stress Relief,0.35,25725484.49896636
71,Turning Rework,0.82,19272414.628929906
72,Turning Rework,0.72,27637004.377734214
73,Turning Rework,0.92,25725484.49896636
74,Change Version,0.95,19272414.628929906
75,Change Version,0.85,27637004.377734214
76,Turn & Mill. & Screw Assem,0.86,19272414.628929906
77,Turn & Mill. & Screw Assem,0.76,27637004.377734214
78,Turn & Mill. & Screw Assem,0.96,25725484.49896636
79,Nitration Q.C.,0.82,19272414.628929906
80,Nitration Q.C.,0.72,27637004.377734214
81,Nitration Q.C.,0.92,25725484.49896636
