concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,start:timestamp,case:concept:name,case:variant,case:variant-index,case:creator
Start,complete,Start,2012-01-30 06:24:00+00:00,Start,Start,2012-01-30 06:24:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4932,2012-01-30 12:43:00+00:00,Turning & Milling,ID4932,2012-01-30 09:29:42.600000+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4932,2012-01-30 13:42:00+00:00,Turning & Milling,ID4932,2012-01-30 13:11:54.600000+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4167,2012-01-30 14:21:00+00:00,Turning & Milling,ID4167,2012-01-30 14:01:06.600000+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4167,2012-01-30 17:58:00+00:00,Turning & Milling,ID4167,2012-01-30 16:07:19.800000+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling Q.C.,complete,ID4163,2012-01-31 21:50:00+00:00,Turning & Milling Q.C.,ID4163,2012-01-31 06:47:07.200000+00:00,Case1,Variant 7,7,Fluxicon Disco
Laser Marking,complete,ID0998,2012-02-01 15:27:00+00:00,Laser Marking,ID0998,2012-02-01 03:38:48.600000+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 08:15:00+00:00,Lapping,ID4882,2012-02-13 14:20:09.600000+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 08:15:00+00:00,Lapping,ID4882,2012-02-14 08:15:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 16:38:00+00:00,Lapping,ID4882,2012-02-14 12:11:24.600000+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 17:20:00+00:00,Lapping,ID4882,2012-02-14 16:57:44.400000+00:00,Case1,Variant 7,7,Fluxicon Disco
Round Grinding,complete,ID4445,2012-02-14 20:37:00+00:00,Round Grinding,ID4445,2012-02-14 19:28:03+00:00,Case1,Variant 7,7,Fluxicon Disco
Round Grinding,complete,ID4445,2012-02-14 22:27:00+00:00,Round Grinding,ID4445,2012-02-14 21:48:30+00:00,Case1,Variant 7,7,Fluxicon Disco
Final Inspection Q.C.,complete,ID4493,2012-02-16 14:59:00+00:00,Final Inspection Q.C.,ID4493,2012-02-15 18:43:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Final Inspection Q.C.,complete,ID4493,2012-02-16 20:58:00+00:00,Final Inspection Q.C.,ID4493,2012-02-16 17:58:30+00:00,Case1,Variant 7,7,Fluxicon Disco
Final Inspection Q.C.,complete,ID4493,2012-02-16 23:12:00+00:00,Final Inspection Q.C.,ID4493,2012-02-16 22:05:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Packing,complete,ID4820,2012-02-17 08:00:00+00:00,Packing,ID4820,2012-02-17 07:01:55.200000+00:00,Case1,Variant 7,7,Fluxicon Disco
End,complete,End,2012-02-17 08:00:00+00:00,End,End,2012-02-17 08:00:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Start,complete,Start,2012-01-17 14:01:00+00:00,Start,Start,2012-01-17 14:01:00+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID3846,2012-01-17 18:05:00+00:00,Turning & Milling,ID3846,2012-01-17 16:00:33.600000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning Q.C.,complete,ID4618,2012-01-17 18:15:00+00:00,Turning Q.C.,ID4618,2012-01-17 18:14:24+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-18 03:01:00+00:00,Turning & Milling,ID4132,2012-01-17 22:32:44.400000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-18 06:43:00+00:00,Turning & Milling,ID4132,2012-01-18 06:42:29.400000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4794,2012-01-18 13:32:00+00:00,Turning & Milling,ID4794,2012-01-18 10:03:24.600000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID3846,2012-01-18 14:24:00+00:00,Turning & Milling,ID3846,2012-01-18 13:57:28.800000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-19 00:55:00+00:00,Turning & Milling,ID4132,2012-01-19 00:00:25.800000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-19 03:04:00+00:00,Turning & Milling,ID4132,2012-01-19 01:58:12.600000+00:00,Case10,Variant 8,8,Fluxicon Disco
