concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,start:timestamp,case:concept:name,case:variant,case:variant-index,case:creator
Start,complete,Start,2012-01-30 06:24:00+00:00,Start,Start,2012-01-30 06:24:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4932,2012-01-30 12:43:00+00:00,Turning & Milling,ID4932,2012-01-30 06:35:22.200000+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4932,2012-01-30 13:42:00+00:00,Turning & Milling,ID4932,2012-01-30 12:44:46.200000+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4167,2012-01-30 14:21:00+00:00,Turning & Milling,ID4167,2012-01-30 13:43:10.200000+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4167,2012-01-30 17:58:00+00:00,Turning & Milling,ID4167,2012-01-30 14:27:30.600000+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling Q.C.,complete,ID4163,2012-01-31 21:50:00+00:00,Turning & Milling Q.C.,ID4163,2012-01-31 03:09:45.600000+00:00,Case1,Variant 7,7,Fluxicon Disco
Laser Marking,complete,ID0998,2012-02-01 15:27:00+00:00,Laser Marking,ID0998,2012-02-01 01:10:49.800000+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 08:15:00+00:00,Lapping,ID4882,2012-02-13 01:29:31.200000+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 08:15:00+00:00,Lapping,ID4882,2012-02-14 08:15:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 16:38:00+00:00,Lapping,ID4882,2012-02-14 09:00:16.200000+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 17:20:00+00:00,Lapping,ID4882,2012-02-14 16:41:46.800000+00:00,Case1,Variant 7,7,Fluxicon Disco
Round Grinding,complete,ID4445,2012-02-14 20:37:00+00:00,Round Grinding,ID4445,2012-02-14 18:11:13.200000+00:00,Case1,Variant 7,7,Fluxicon Disco
Round Grinding,complete,ID4445,2012-02-14 22:27:00+00:00,Round Grinding,ID4445,2012-02-14 21:05:36+00:00,Case1,Variant 7,7,Fluxicon Disco
Final Inspection Q.C.,complete,ID4493,2012-02-16 14:59:00+00:00,Final Inspection Q.C.,ID4493,2012-02-16 11:44:26.400000+00:00,Case1,Variant 7,7,Fluxicon Disco
Final Inspection Q.C.,complete,ID4493,2012-02-16 20:58:00+00:00,Final Inspection Q.C.,ID4493,2012-02-16 20:29:16.800000+00:00,Case1,Variant 7,7,Fluxicon Disco
Final Inspection Q.C.,complete,ID4493,2012-02-16 23:12:00+00:00,Final Inspection Q.C.,ID4493,2012-02-16 23:01:16.800000+00:00,Case1,Variant 7,7,Fluxicon Disco
Packing,complete,ID4820,2012-02-17 08:00:00+00:00,Packing,ID4820,2012-02-17 07:01:55.200000+00:00,Case1,Variant 7,7,Fluxicon Disco
End,complete,End,2012-02-17 08:00:00+00:00,End,End,2012-02-17 08:00:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Start,complete,Start,2012-01-17 14:01:00+00:00,Start,Start,2012-01-17 14:01:00+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID3846,2012-01-17 18:05:00+00:00,Turning & Milling,ID3846,2012-01-17 14:08:19.200000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning Q.C.,complete,ID4618,2012-01-17 18:15:00+00:00,Turning Q.C.,ID4618,2012-01-17 18:13:49.800000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-18 03:01:00+00:00,Turning & Milling,ID4132,2012-01-17 18:30:46.800000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-18 06:43:00+00:00,Turning & Milling,ID4132,2012-01-18 06:42:01.800000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4794,2012-01-18 13:32:00+00:00,Turning & Milling,ID4794,2012-01-18 06:55:16.200000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID3846,2012-01-18 14:24:00+00:00,Turning & Milling,ID3846,2012-01-18 13:33:33.600000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-19 00:55:00+00:00,Turning & Milling,ID4132,2012-01-18 23:11:12.600000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-19 03:04:00+00:00,Turning & Milling,ID4132,2012-01-19 00:58:52.200000+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4794,2012-01-19 13:29:00+00:00,Turning & Milling,ID4794,2012-01-19 03:22:45+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-20 01:09:00+00:00,Turning & Milling,ID4132,2012-01-19 13:50:00+00:00,Case10,Variant 8,8,Fluxicon Disco
