,Activity,Alpha,W.Distance
0,Create Purchase Requisition,0.0,0.0
1,Create Purchase Requisition,1.0,0.0
2,Create Purchase Requisition,0.5,0.0
12,Create Request for Quotation,0.0,11372.063432665775
13,Create Request for Quotation,1.0,8079.327366148506
14,Create Request for Quotation,0.5,7553.802208901711
15,Create Request for Quotation,0.75,6188.002822357642
16,Create Request for Quotation,0.625,7389.899965107936
17,Create Request for Quotation,0.6875,7228.148347894294
18,Create Request for Quotation,0.71875,8682.380903583526
24,Analyze Request for Quotation,0.0,587079.1468074629
25,Analyze Request for Quotation,1.0,12075146.76685992
26,Analyze Request for Quotation,0.5,4529412.407775782
27,Analyze Request for Quotation,0.25,454785.7869214906
28,Analyze Request for Quotation,0.125,568200.6390251939
29,Analyze Request for Quotation,0.1875,551333.5730106262
30,Analyze Request for Quotation,0.21875,533257.8076910824
31,Analyze Request for Quotation,0.234375,515284.9224177552
32,Analyze Request for Quotation,0.2421875,537968.7587447979
36,Send Request for Quotation to Supplier,0.0,60465.91404580104
37,Send Request for Quotation to Supplier,1.0,14302087.272490036
38,Send Request for Quotation to Supplier,0.5,5585282.885761297
39,Send Request for Quotation to Supplier,0.25,92330.45918851852
40,Send Request for Quotation to Supplier,0.125,48989.71369718112
41,Send Request for Quotation to Supplier,0.0625,41538.68079592758
42,Send Request for Quotation to Supplier,0.09375,25350.549638050674
43,Send Request for Quotation to Supplier,0.078125,13517.615133712017
44,Send Request for Quotation to Supplier,0.0859375,31282.374755318728
48,Create Quotation comparison Map,0.0,38939.13084053951
49,Create Quotation comparison Map,1.0,13886334.296225786
50,Create Quotation comparison Map,0.5,5428820.586962938
51,Create Quotation comparison Map,0.25,110058.16238661441
52,Create Quotation comparison Map,0.125,27548.165254254396
53,Create Quotation comparison Map,0.0625,22633.88221715783
54,Create Quotation comparison Map,0.09375,11984.395132727219
55,Create Quotation comparison Map,0.078125,15974.158129216212
56,Create Quotation comparison Map,0.0859375,17163.33130107809
60,Analyze Quotation Comparison Map,0.0,18519.614494956142
61,Analyze Quotation Comparison Map,1.0,16991.444290932002
62,Analyze Quotation Comparison Map,0.5,14210.95609653781
63,Analyze Quotation Comparison Map,0.75,15450.669666292262
64,Analyze Quotation Comparison Map,0.625,12868.710239141732
65,Analyze Quotation Comparison Map,0.5625,14446.688024817515
72,Choose best option,0.0,15224.687292115197
73,Choose best option,1.0,9625.75865350711
74,Choose best option,0.5,11948.300397850491
75,Choose best option,0.75,13362.778066855002
84,Settle Conditions With Supplier,0.0,63086.321036889334
85,Settle Conditions With Supplier,1.0,11942464.473232815
86,Settle Conditions With Supplier,0.5,5106465.252275307
87,Settle Conditions With Supplier,0.25,86659.69071714228
88,Settle Conditions With Supplier,0.125,49948.06478289768
89,Settle Conditions With Supplier,0.0625,50536.813158548954
90,Settle Conditions With Supplier,0.09375,41899.53274888919
91,Settle Conditions With Supplier,0.109375,23196.221564501087
92,Settle Conditions With Supplier,0.1015625,43558.402288677054
96,Create Purchase Order,0.0,37174.07206950577
97,Create Purchase Order,1.0,9677812.294010162
98,Create Purchase Order,0.5,4541641.507476214
99,Create Purchase Order,0.25,115385.55176805316
100,Create Purchase Order,0.125,24621.751059990987
101,Create Purchase Order,0.0625,21650.945098324446
102,Create Purchase Order,0.09375,12481.820688418586
103,Create Purchase Order,0.078125,11247.271121236588
