,Activity,Alpha,W.Distance
0,Create Purchase Requisition,0.0,0.0
1,Create Purchase Requisition,1.0,0.0
2,Create Purchase Requisition,0.5,0.0
3,Create Request for Quotation,0.0,12115.670701052179
4,Create Request for Quotation,1.0,9165.261766824493
5,Create Request for Quotation,0.5,7420.145762327127
6,Create Request for Quotation,0.75,7635.749120111754
7,Create Request for Quotation,0.625,6167.842480540517
8,Create Request for Quotation,0.5625,8304.257540551222
9,Create Request for Quotation,0.59375,7298.71257711246
10,Create Request for Quotation,0.609375,5766.341753560927
11,Create Request for Quotation,0.6171875,7485.283537262822
12,Analyze Request for Quotation,0.0,587020.9697782294
13,Analyze Request for Quotation,1.0,11915361.468064135
14,Analyze Request for Quotation,0.5,4004080.4572788747
15,Analyze Request for Quotation,0.25,427594.4980568021
16,Analyze Request for Quotation,0.125,567300.4544699519
17,Analyze Request for Quotation,0.1875,552368.7136202429
18,Analyze Request for Quotation,0.21875,530803.4973932788
19,Analyze Request for Quotation,0.234375,538534.9789257734
20,Analyze Request for Quotation,0.2421875,521299.9113177596
21,Analyze Request for Quotation,0.24609375,531945.7649750535
22,Send Request for Quotation to Supplier,0.0,60956.38384047593
23,Send Request for Quotation to Supplier,1.0,14300391.918176666
24,Send Request for Quotation to Supplier,0.5,4873841.242965471
25,Send Request for Quotation to Supplier,0.25,374893.75865429133
26,Send Request for Quotation to Supplier,0.125,47863.256335482096
27,Send Request for Quotation to Supplier,0.0625,44608.487250243765
28,Send Request for Quotation to Supplier,0.09375,24369.063792513363
29,Send Request for Quotation to Supplier,0.078125,37482.62466189008
30,Send Request for Quotation to Supplier,0.0859375,30380.30092166504
31,Send Request for Quotation to Supplier,0.08984375,28197.53915297074
32,Send Request for Quotation to Supplier,0.091796875,27245.913507333287
33,Send Request for Quotation to Supplier,0.0927734375,22613.387083594935
34,Send Request for Quotation to Supplier,0.09326171875,15269.603401814904
35,Send Request for Quotation to Supplier,0.093017578125,26687.36776419812
36,Create Quotation comparison Map,0.0,39020.84657185598
37,Create Quotation comparison Map,1.0,13433862.994083406
38,Create Quotation comparison Map,0.5,4887558.900763566
39,Create Quotation comparison Map,0.25,392768.9441000223
40,Create Quotation comparison Map,0.125,27051.932270936824
41,Create Quotation comparison Map,0.0625,24628.706371631728
42,Create Quotation comparison Map,0.09375,9744.127879547765
43,Create Quotation comparison Map,0.078125,17265.282214266834
44,Create Quotation comparison Map,0.0859375,13339.304983428345
45,Create Quotation comparison Map,0.08984375,11990.898266661465
46,Create Quotation comparison Map,0.091796875,9866.86552957466
47,Create Quotation comparison Map,0.0927734375,10907.078457256415
48,Create Quotation comparison Map,0.09326171875,26653.55275088671
49,Analyze Quotation Comparison Map,0.0,17971.05084591121
50,Analyze Quotation Comparison Map,1.0,17036.70027840411
51,Analyze Quotation Comparison Map,0.5,14241.700629959
52,Analyze Quotation Comparison Map,0.75,13993.573839193661
53,Analyze Quotation Comparison Map,0.625,12381.029600393133
54,Analyze Quotation Comparison Map,0.6875,13993.520425958315
55,Analyze Quotation Comparison Map,0.65625,12559.6772560155
56,Analyze Quotation Comparison Map,0.640625,14211.343672253672
57,Choose best option,0.0,18074.799526398536
58,Choose best option,1.0,10563.968245163895
59,Choose best option,0.5,12453.746233430287
60,Choose best option,0.75,15210.840384654912
61,Settle Conditions With Supplier,0.0,63328.63370767892
