concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,start:timestamp,case:concept:name,case:variant,case:variant-index,case:creator
Start,complete,Start,2012-01-30 06:24:00+00:00,Start,Start,2012-01-30 06:24:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4932,2012-01-30 12:43:00+00:00,Turning & Milling,ID4932,2012-01-30 12:21:31.992188+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4932,2012-01-30 13:42:00+00:00,Turning & Milling,ID4932,2012-01-30 13:38:39.492188+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4167,2012-01-30 14:21:00+00:00,Turning & Milling,ID4167,2012-01-30 14:18:47.460938+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4167,2012-01-30 17:58:00+00:00,Turning & Milling,ID4167,2012-01-30 17:45:42.539062+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling Q.C.,complete,ID4163,2012-01-31 21:50:00+00:00,Turning & Milling Q.C.,ID4163,2012-01-31 21:17:20.625000+00:00,Case1,Variant 7,7,Fluxicon Disco
Laser Marking,complete,ID0998,2012-02-01 15:27:00+00:00,Laser Marking,ID0998,2012-02-01 14:51:54.257812+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 08:15:00+00:00,Lapping,ID4882,2012-02-14 05:04:52.500000+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 08:15:00+00:00,Lapping,ID4882,2012-02-14 08:15:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 16:38:00+00:00,Lapping,ID4882,2012-02-14 15:50:50.625000+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 17:20:00+00:00,Lapping,ID4882,2012-02-14 17:16:03.750000+00:00,Case1,Variant 7,7,Fluxicon Disco
Round Grinding,complete,ID4445,2012-02-14 20:37:00+00:00,Round Grinding,ID4445,2012-02-14 20:26:02.050781+00:00,Case1,Variant 7,7,Fluxicon Disco
Round Grinding,complete,ID4445,2012-02-14 22:27:00+00:00,Round Grinding,ID4445,2012-02-14 22:20:52.617188+00:00,Case1,Variant 7,7,Fluxicon Disco
Final Inspection Q.C.,complete,ID4493,2012-02-16 14:59:00+00:00,Final Inspection Q.C.,ID4493,2012-02-16 13:14:30+00:00,Case1,Variant 7,7,Fluxicon Disco
Final Inspection Q.C.,complete,ID4493,2012-02-16 20:58:00+00:00,Final Inspection Q.C.,ID4493,2012-02-16 20:42:34.453125+00:00,Case1,Variant 7,7,Fluxicon Disco
Final Inspection Q.C.,complete,ID4493,2012-02-16 23:12:00+00:00,Final Inspection Q.C.,ID4493,2012-02-16 23:06:14.531250+00:00,Case1,Variant 7,7,Fluxicon Disco
Packing,complete,ID4820,2012-02-17 08:00:00+00:00,Packing,ID4820,2012-02-17 07:30:05.625000+00:00,Case1,Variant 7,7,Fluxicon Disco
End,complete,End,2012-02-17 08:00:00+00:00,End,End,2012-02-17 08:00:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Start,complete,Start,2012-01-17 14:01:00+00:00,Start,Start,2012-01-17 14:01:00+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID3846,2012-01-17 18:05:00+00:00,Turning & Milling,ID3846,2012-01-17 17:51:10.781250+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning Q.C.,complete,ID4618,2012-01-17 18:15:00+00:00,Turning Q.C.,ID4618,2012-01-17 18:14:49.804688+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-18 03:01:00+00:00,Turning & Milling,ID4132,2012-01-18 02:31:12.421875+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-18 06:43:00+00:00,Turning & Milling,ID4132,2012-01-18 06:42:56.601562+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4794,2012-01-18 13:32:00+00:00,Turning & Milling,ID4794,2012-01-18 13:08:50.039062+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID3846,2012-01-18 14:24:00+00:00,Turning & Milling,ID3846,2012-01-18 14:21:03.281250+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-19 00:55:00+00:00,Turning & Milling,ID4132,2012-01-19 00:48:56.367188+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-19 03:04:00+00:00,Turning & Milling,ID4132,2012-01-19 02:56:41.601562+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4794,2012-01-19 13:29:00+00:00,Turning & Milling,ID4794,2012-01-19 12:53:35.976562+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-20 01:09:00+00:00,Turning & Milling,ID4132,2012-01-20 00:29:21.093750+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4132,2012-01-20 03:08:00+00:00,Turning & Milling,ID4132,2012-01-20 03:01:15.585938+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4794,2012-01-20 12:10:00+00:00,Turning & Milling,ID4794,2012-01-20 11:39:18.046875+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID4641,2012-01-22 13:34:00+00:00,Turning & Milling,ID4641,2012-01-22 10:46:07.031250+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID3846,2012-01-22 14:13:00+00:00,Turning & Milling,ID3846,2012-01-22 14:10:47.460938+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning & Milling,complete,ID3846,2012-01-23 00:47:00+00:00,Turning & Milling,ID3846,2012-01-23 00:11:05.390625+00:00,Case10,Variant 8,8,Fluxicon Disco
Turning Q.C.,complete,ID4618,2012-01-23 17:26:00+00:00,Turning Q.C.,ID4618,2012-01-23 16:29:24.960938+00:00,Case10,Variant 8,8,Fluxicon Disco
Laser Marking,complete,ID4794,2012-01-25 17:57:00+00:00,Laser Marking,ID4794,2012-01-25 17:18:45+00:00,Case10,Variant 8,8,Fluxicon Disco
Laser Marking,complete,ID4882,2012-01-25 19:54:00+00:00,Laser Marking,ID4882,2012-01-25 19:50:06.914062+00:00,Case10,Variant 8,8,Fluxicon Disco
Laser Marking,complete,ID4882,2012-01-25 21:09:00+00:00,Laser Marking,ID4882,2012-01-25 21:06:30.585938+00:00,Case10,Variant 8,8,Fluxicon Disco
Flat Grinding,complete,ID0998,2012-01-27 20:00:00+00:00,Flat Grinding,ID0998,2012-01-27 19:56:46.640625+00:00,Case10,Variant 8,8,Fluxicon Disco
Flat Grinding,complete,ID0998,2012-01-29 22:06:00+00:00,Flat Grinding,ID0998,2012-01-29 21:01:25.078125+00:00,Case10,Variant 8,8,Fluxicon Disco
Flat Grinding,complete,ID0998,2012-01-30 23:59:00+00:00,Flat Grinding,ID0998,2012-01-30 23:25:38.085938+00:00,Case10,Variant 8,8,Fluxicon Disco
Final Inspection Q.C.,complete,ID4618,2012-02-02 21:16:00+00:00,Final Inspection Q.C.,ID4618,2012-02-02 19:56:40.781250+00:00,Case10,Variant 8,8,Fluxicon Disco
Packing,complete,ID4820,2012-02-03 08:00:00+00:00,Packing,ID4820,2012-02-03 07:23:31.406250+00:00,Case10,Variant 8,8,Fluxicon Disco
End,complete,End,2012-02-03 08:00:00+00:00,End,End,2012-02-03 08:00:00+00:00,Case10,Variant 8,8,Fluxicon Disco
Start,complete,Start,2012-02-21 00:09:00+00:00,Start,Start,2012-02-21 00:09:00+00:00,Case100,Variant 9,9,Fluxicon Disco
Turning & Milling,complete,ID4219,2012-02-21 00:57:00+00:00,Turning & Milling,ID4219,2012-02-21 00:54:16.875000+00:00,Case100,Variant 9,9,Fluxicon Disco
Turning & Milling,complete,ID4529,2012-02-21 09:57:00+00:00,Turning & Milling,ID4529,2012-02-21 09:26:24.843750+00:00,Case100,Variant 9,9,Fluxicon Disco
Turning & Milling,complete,ID4219,2012-02-21 18:03:00+00:00,Turning & Milling,ID4219,2012-02-21 17:35:28.359375+00:00,Case100,Variant 9,9,Fluxicon Disco
Turning & Milling,complete,ID4219,2012-02-21 19:08:00+00:00,Turning & Milling,ID4219,2012-02-21 19:04:19.101562+00:00,Case100,Variant 9,9,Fluxicon Disco
Turning & Milling Q.C.,complete,ID4618,2012-02-22 22:10:00+00:00,Turning & Milling Q.C.,ID4618,2012-02-22 21:38:19.218750+00:00,Case100,Variant 9,9,Fluxicon Disco
Laser Marking,complete,ID0998,2012-03-11 18:06:00+00:00,Laser Marking,ID0998,2012-03-11 07:56:17.460938+00:00,Case100,Variant 9,9,Fluxicon Disco
Flat Grinding,complete,ID0998,2012-03-11 19:45:00+00:00,Flat Grinding,ID0998,2012-03-11 19:42:52.382812+00:00,Case100,Variant 9,9,Fluxicon Disco
Lapping,complete,ID4882,2012-03-11 20:18:00+00:00,Lapping,ID4882,2012-03-11 20:14:54.375000+00:00,Case100,Variant 9,9,Fluxicon Disco
Round Grinding,complete,ID4445,2012-03-13 17:41:00+00:00,Round Grinding,ID4445,2012-03-13 15:18:03.281250+00:00,Case100,Variant 9,9,Fluxicon Disco
Round Grinding,complete,ID4445,2012-03-13 22:12:00+00:00,Round Grinding,ID4445,2012-03-13 21:56:54.902344+00:00,Case100,Variant 9,9,Fluxicon Disco
Grinding Rework,complete,ID4872,2012-03-16 19:40:00+00:00,Grinding Rework,ID4872,2012-03-16 12:26:30.703125+00:00,Case100,Variant 9,9,Fluxicon Disco
Final Inspection Q.C.,complete,ID4618,2012-03-19 21:06:00+00:00,Final Inspection Q.C.,ID4618,2012-03-19 17:56:40.781250+00:00,Case100,Variant 9,9,Fluxicon Disco
Packing,complete,ID4820,2012-03-21 08:00:00+00:00,Packing,ID4820,2012-03-21 06:01:23.671875+00:00,Case100,Variant 9,9,Fluxicon Disco
Final Inspection Q.C.,complete,ID4618,2012-03-21 14:03:00+00:00,Final Inspection Q.C.,ID4618,2012-03-21 13:47:24.140625+00:00,Case100,Variant 9,9,Fluxicon Disco
