,Activity,Alpha,W.Distance
0,Create Purchase Requisition,0.5,15201949.498180514
1,Create Purchase Requisition,0.4,7829728.959427983
2,Create Purchase Requisition,0.3,7983446.085441963
3,Create Purchase Requisition,0.2,13615008.691335635
4,Create Request for Quotation,0.76,15201949.498180514
5,Create Request for Quotation,0.66,7829728.959427983
6,Create Request for Quotation,0.56,7983446.085441963
7,Create Request for Quotation,0.46,13615008.691335635
8,Analyze Request for Quotation,0.08,15201949.498180514
9,Analyze Request for Quotation,0.18,7829728.959427983
10,Analyze Request for Quotation,0.28,7983446.085441963
11,Analyze Request for Quotation,0.38,13615008.691335635
12,Send Request for Quotation to Supplier,0.08,15201949.498180514
13,Send Request for Quotation to Supplier,0.18,7829728.959427983
14,Send Request for Quotation to Supplier,0.28,7983446.085441963
15,Send Request for Quotation to Supplier,0.38,13615008.691335635
16,Create Quotation comparison Map,0.71,15201949.498180514
17,Create Quotation comparison Map,0.61,7829728.959427983
18,Create Quotation comparison Map,0.51,7983446.085441963
19,Create Quotation comparison Map,0.41,13615008.691335635
20,Analyze Quotation Comparison Map,0.95,15201949.498180514
21,Analyze Quotation Comparison Map,0.85,7829728.959427983
22,Choose best option,0.6,15201949.498180514
23,Choose best option,0.5,7829728.959427983
24,Choose best option,0.4,7983446.085441963
25,Choose best option,0.3,13615008.691335635
26,Settle Conditions With Supplier,0.15,15201949.498180514
27,Settle Conditions With Supplier,0.05,7829728.959427983
28,Create Purchase Order,0.65,15201949.498180514
29,Create Purchase Order,0.55,7829728.959427983
30,Create Purchase Order,0.45,7983446.085441963
31,Create Purchase Order,0.35,13615008.691335635
32,Confirm Purchase Order,0.64,15201949.498180514
33,Confirm Purchase Order,0.54,7829728.959427983
34,Confirm Purchase Order,0.44,7983446.085441963
35,Confirm Purchase Order,0.34,13615008.691335635
36,Deliver Goods Services,0.98,15201949.498180514
37,Deliver Goods Services,0.88,7829728.959427983
38,Deliver Goods Services,0.78,7983446.085441963
39,Deliver Goods Services,0.68,13615008.691335635
40,Release Purchase Order,0.94,15201949.498180514
41,Release Purchase Order,0.84,7829728.959427983
42,Release Purchase Order,0.74,7983446.085441963
43,Release Purchase Order,0.64,13615008.691335635
44,Approve Purchase Order for payment,0.02,15201949.498180514
45,Approve Purchase Order for payment,0.12,7829728.959427983
46,Approve Purchase Order for payment,0.22,7983446.085441963
47,Approve Purchase Order for payment,0.32,13615008.691335635
48,Send Invoice,0.05,15201949.498180514
49,Send Invoice,0.15,7829728.959427983
50,Send Invoice,0.25,7983446.085441963
51,Send Invoice,0.35,13615008.691335635
52,Release Supplier's Invoice,0.26,15201949.498180514
53,Release Supplier's Invoice,0.16,7829728.959427983
54,Release Supplier's Invoice,0.06,7983446.085441963
55,Authorize Supplier's Invoice payment,0.04,15201949.498180514
56,Authorize Supplier's Invoice payment,0.14,7829728.959427983
57,Authorize Supplier's Invoice payment,0.24,7983446.085441963
58,Authorize Supplier's Invoice payment,0.34,13615008.691335635
59,Pay Invoice,0.8,15201949.498180514
60,Pay Invoice,0.7,7829728.959427983
61,Pay Invoice,0.6,7983446.085441963
62,Pay Invoice,0.5,13615008.691335635
63,Amend Request for Quotation,0.24,15201949.498180514
64,Amend Request for Quotation,0.14,7829728.959427983
65,Amend Request for Quotation,0.04,7983446.085441963
66,Settle Dispute With Supplier,0.85,15201949.498180514
67,Settle Dispute With Supplier,0.75,7829728.959427983
68,Settle Dispute With Supplier,0.65,7983446.085441963
69,Settle Dispute With Supplier,0.55,13615008.691335635
70,Analyze Purchase Requisition,0.64,15201949.498180514
71,Analyze Purchase Requisition,0.54,7829728.959427983
72,Analyze Purchase Requisition,0.44,7983446.085441963
73,Analyze Purchase Requisition,0.34,13615008.691335635
74,Amend Purchase Requisition,0.51,15201949.498180514
75,Amend Purchase Requisition,0.41,7829728.959427983
76,Amend Purchase Requisition,0.31,7983446.085441963
77,Amend Purchase Requisition,0.21,13615008.691335635
