concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,start:timestamp,case:concept:name,case:variant,case:variant-index,case:creator
Start,complete,Start,2012-01-30 06:24:00+00:00,Start,Start,2012-01-30 06:24:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4932,2012-01-30 12:43:00+00:00,Turning & Milling,ID4932,2012-01-30 11:57:31.200000+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4932,2012-01-30 13:42:00+00:00,Turning & Milling,ID4932,2012-01-30 13:34:55.200000+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4167,2012-01-30 14:21:00+00:00,Turning & Milling,ID4167,2012-01-30 14:16:19.200000+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling,complete,ID4167,2012-01-30 17:58:00+00:00,Turning & Milling,ID4167,2012-01-30 17:31:57.600000+00:00,Case1,Variant 7,7,Fluxicon Disco
Turning & Milling Q.C.,complete,ID4163,2012-01-31 21:50:00+00:00,Turning & Milling Q.C.,ID4163,2012-01-31 18:46:04.800000+00:00,Case1,Variant 7,7,Fluxicon Disco
Laser Marking,complete,ID0998,2012-02-01 15:27:00+00:00,Laser Marking,ID0998,2012-02-01 13:30:43.800000+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 08:15:00+00:00,Lapping,ID4882,2012-02-13 00:48:57.600000+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 08:15:00+00:00,Lapping,ID4882,2012-02-14 08:15:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 16:38:00+00:00,Lapping,ID4882,2012-02-14 08:50:12.600000+00:00,Case1,Variant 7,7,Fluxicon Disco
Lapping,complete,ID4882,2012-02-14 17:20:00+00:00,Lapping,ID4882,2012-02-14 16:40:56.400000+00:00,Case1,Variant 7,7,Fluxicon Disco
Round Grinding,complete,ID4445,2012-02-14 20:37:00+00:00,Round Grinding,ID4445,2012-02-14 17:43:38.400000+00:00,Case1,Variant 7,7,Fluxicon Disco
Round Grinding,complete,ID4445,2012-02-14 22:27:00+00:00,Round Grinding,ID4445,2012-02-14 20:50:12+00:00,Case1,Variant 7,7,Fluxicon Disco
Final Inspection Q.C.,complete,ID4493,2012-02-16 14:59:00+00:00,Final Inspection Q.C.,ID4493,2012-02-15 08:35:00+00:00,Case1,Variant 7,7,Fluxicon Disco
Final Inspection Q.C.,complete,ID4493,2012-02-16 20:58:00+00:00,Final Inspection Q.C.,ID4493,2012-02-16 16:28:45+00:00,Case1,Variant 7,7,Fluxicon Disco
Final Inspection Q.C.,complete,ID4493,2012-02-16 23:12:00+00:00,Final Inspection Q.C.,ID4493,2012-02-16 21:31:30+00:00,Case1,Variant 7,7,Fluxicon Disco
Packing,complete,ID4820,2012-02-17 08:00:00+00:00,Packing,ID4820,2012-02-17 05:48:00+00:00,Case1,Variant 7,7,Fluxicon Disco
End,complete,End,2012-02-17 08:00:00+00:00,End,End,2012-02-17 08:00:00+00:00,Case1,Variant 7,7,Fluxicon Disco
