,Activity,Alpha,W.Distance
0,Create Purchase Requisition,0.0,0.0
1,Create Purchase Requisition,1.0,0.0
2,Create Purchase Requisition,0.5,0.0
3,Create Request for Quotation,0.0,12207.480112337473
4,Create Request for Quotation,1.0,7451.820845151737
5,Create Request for Quotation,0.5,7507.451878332965
6,Create Request for Quotation,0.75,7779.251132807282
7,Create Request for Quotation,0.875,7371.9425894695105
8,Create Request for Quotation,0.8125,6994.917358603132
9,Create Request for Quotation,0.78125,7078.476222345882
10,Create Request for Quotation,0.796875,6859.7179638537455
11,Create Request for Quotation,0.8046875,7042.18069924262
12,Create Request for Quotation,0.80078125,7599.895582975991
13,Analyze Request for Quotation,0.0,586467.6542093898
14,Analyze Request for Quotation,1.0,12215993.5099945
15,Analyze Request for Quotation,0.5,3835726.104943839
16,Analyze Request for Quotation,0.25,405918.4705523782
17,Analyze Request for Quotation,0.125,566495.3125981994
18,Analyze Request for Quotation,0.1875,557564.5245415064
19,Analyze Request for Quotation,0.21875,533456.7611286913
20,Analyze Request for Quotation,0.234375,530279.670867849
21,Analyze Request for Quotation,0.2421875,522209.44962507306
22,Analyze Request for Quotation,0.24609375,511327.6978933417
23,Analyze Request for Quotation,0.248046875,536247.3952025335
24,Analyze Request for Quotation,0.2490234375,513350.9361792687
25,Analyze Request for Quotation,0.24951171875,509390.43529709463
26,Send Request for Quotation to Supplier,0.0,60912.14493059726
27,Send Request for Quotation to Supplier,1.0,14306861.754028516
28,Send Request for Quotation to Supplier,0.5,4835166.000876213
29,Send Request for Quotation to Supplier,0.25,415731.428025657
30,Send Request for Quotation to Supplier,0.125,44738.37777268398
31,Send Request for Quotation to Supplier,0.0625,47486.23995211079
32,Send Request for Quotation to Supplier,0.09375,28858.424450085353
33,Send Request for Quotation to Supplier,0.109375,23950.936576867527
34,Send Request for Quotation to Supplier,0.1015625,15949.44468352407
35,Send Request for Quotation to Supplier,0.10546875,11537.859675277832
36,Send Request for Quotation to Supplier,0.103515625,30311.960967926483
37,Send Request for Quotation to Supplier,0.1044921875,64536.84916233849
38,Send Request for Quotation to Supplier,0.10498046875,14361.744032131088
39,Create Quotation comparison Map,0.0,39112.723194289065
40,Create Quotation comparison Map,1.0,13703808.441465776
41,Create Quotation comparison Map,0.5,4656938.469650827
42,Create Quotation comparison Map,0.25,439747.4493951745
43,Create Quotation comparison Map,0.125,25327.330225080008
44,Create Quotation comparison Map,0.0625,28580.189275769833
45,Create Quotation comparison Map,0.09375,12811.580858225789
46,Create Quotation comparison Map,0.109375,8109.20325015424
47,Create Quotation comparison Map,0.1015625,12417.94531587163
48,Create Quotation comparison Map,0.10546875,20379.008391077306
49,Create Quotation comparison Map,0.107421875,23246.488755740884
50,Analyze Quotation Comparison Map,0.0,18622.4229104688
51,Analyze Quotation Comparison Map,1.0,16101.233067953995
52,Analyze Quotation Comparison Map,0.5,13881.29554587953
53,Analyze Quotation Comparison Map,0.75,14070.236772487548
54,Analyze Quotation Comparison Map,0.625,12499.69325650029
55,Analyze Quotation Comparison Map,0.5625,13109.822865945041
56,Analyze Quotation Comparison Map,0.59375,14117.282600126353
57,Analyze Quotation Comparison Map,0.609375,14511.299851830434
58,Choose best option,0.0,14744.934574300753
59,Choose best option,1.0,7173.868689882205
60,Choose best option,0.5,12781.689217537712
61,Choose best option,0.75,13426.19665848905
