,Activity,Alpha,W.Distance
0,Create Purchase Requisition,0.68,31884441.27917441
1,Create Purchase Requisition,0.63,29505990.126579903
2,Create Purchase Requisition,0.58,28040607.52012156
3,Create Purchase Requisition,0.53,29060190.31056208
4,Create Request for Quotation,0.21,31884441.27917441
5,Create Request for Quotation,0.16,29505990.126579903
6,Create Request for Quotation,0.11,28040607.52012156
7,Create Request for Quotation,0.06,29060190.31056208
8,Analyze Request for Quotation,0.75,31884441.27917441
9,Analyze Request for Quotation,0.7,29505990.126579903
10,Analyze Request for Quotation,0.65,28040607.52012156
11,Analyze Request for Quotation,0.6,29060190.31056208
12,Send Request for Quotation to Supplier,0.12,31884441.27917441
13,Send Request for Quotation to Supplier,0.07,29505990.126579903
14,Send Request for Quotation to Supplier,0.02,28040607.52012156
15,Create Quotation comparison Map,0.37,31884441.27917441
16,Create Quotation comparison Map,0.32,29505990.126579903
17,Create Quotation comparison Map,0.27,28040607.52012156
18,Create Quotation comparison Map,0.22,29060190.31056208
19,Analyze Quotation Comparison Map,0.91,31884441.27917441
20,Analyze Quotation Comparison Map,0.86,29505990.126579903
21,Analyze Quotation Comparison Map,0.81,28040607.52012156
22,Analyze Quotation Comparison Map,0.76,29060190.31056208
23,Choose best option,0.18,31884441.27917441
24,Choose best option,0.13,29505990.126579903
25,Choose best option,0.08,28040607.52012156
26,Choose best option,0.03,29060190.31056208
27,Settle Conditions With Supplier,0.33,31884441.27917441
28,Settle Conditions With Supplier,0.28,29505990.126579903
29,Settle Conditions With Supplier,0.23,28040607.52012156
30,Settle Conditions With Supplier,0.18,29060190.31056208
31,Create Purchase Order,0.09,31884441.27917441
32,Create Purchase Order,0.04,29505990.126579903
33,Confirm Purchase Order,0.49,31884441.27917441
34,Confirm Purchase Order,0.44,29505990.126579903
35,Confirm Purchase Order,0.39,28040607.52012156
36,Confirm Purchase Order,0.34,29060190.31056208
37,Deliver Goods Services,0.13,31884441.27917441
38,Deliver Goods Services,0.08,29505990.126579903
39,Deliver Goods Services,0.03,28040607.52012156
40,Release Purchase Order,0.3,31884441.27917441
41,Release Purchase Order,0.25,29505990.126579903
42,Release Purchase Order,0.2,28040607.52012156
43,Release Purchase Order,0.15,29060190.31056208
44,Approve Purchase Order for payment,0.75,31884441.27917441
45,Approve Purchase Order for payment,0.7,29505990.126579903
46,Approve Purchase Order for payment,0.65,28040607.52012156
47,Approve Purchase Order for payment,0.6,29060190.31056208
48,Send Invoice,0.3,31884441.27917441
49,Send Invoice,0.25,29505990.126579903
50,Send Invoice,0.2,28040607.52012156
51,Send Invoice,0.15,29060190.31056208
52,Release Supplier's Invoice,0.66,31884441.27917441
53,Release Supplier's Invoice,0.61,29505990.126579903
54,Release Supplier's Invoice,0.56,28040607.52012156
55,Release Supplier's Invoice,0.51,29060190.31056208
56,Authorize Supplier's Invoice payment,0.29,31884441.27917441
57,Authorize Supplier's Invoice payment,0.24,29505990.126579903
58,Authorize Supplier's Invoice payment,0.19,28040607.52012156
59,Authorize Supplier's Invoice payment,0.14,29060190.31056208
60,Pay Invoice,0.87,31884441.27917441
61,Pay Invoice,0.82,29505990.126579903
62,Pay Invoice,0.77,28040607.52012156
63,Pay Invoice,0.72,29060190.31056208
64,Amend Request for Quotation,0.72,31884441.27917441
65,Amend Request for Quotation,0.67,29505990.126579903
66,Amend Request for Quotation,0.62,28040607.52012156
67,Amend Request for Quotation,0.57,29060190.31056208
68,Settle Dispute With Supplier,0.86,31884441.27917441
69,Settle Dispute With Supplier,0.81,29505990.126579903
70,Settle Dispute With Supplier,0.76,28040607.52012156
71,Settle Dispute With Supplier,0.71,29060190.31056208
72,Analyze Purchase Requisition,0.37,31884441.27917441
73,Analyze Purchase Requisition,0.32,29505990.126579903
74,Analyze Purchase Requisition,0.27,28040607.52012156
75,Analyze Purchase Requisition,0.22,29060190.31056208
76,Amend Purchase Requisition,0.99,31884441.27917441
77,Amend Purchase Requisition,0.94,29505990.126579903
78,Amend Purchase Requisition,0.89,28040607.52012156
79,Amend Purchase Requisition,0.84,29060190.31056208
