case_id,activity,enable_time,start_time,end_time,resource
0,Start,2011-01-02 05:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,Start
0,Final Inspection Q.C.,2011-01-02 07:00:00.000000+00:00,2011-01-02 13:00:00.000000+00:00,2011-01-02 13:17:19.493569+00:00,Joint_Final Inspection Q.C._0
0,Grinding Rework,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,2011-01-02 08:43:20.400879+00:00,ID4882
0,Round Grinding,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,2011-01-02 08:04:00.406793+00:00,Joint_Round Grinding_0
0,Turning & Milling Q.C.,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:05:16.936970+00:00,Joint_Turning & Milling Q.C._0
0,Round Grinding,2011-01-02 08:04:00.406793+00:00,2011-01-02 13:00:00.000000+00:00,2011-01-02 13:14:56.054451+00:00,Joint_Round Grinding_1
0,Grinding Rework,2011-01-02 08:43:20.400879+00:00,2011-01-02 08:43:20.400879+00:00,2011-01-02 13:19:46.143175+00:00,ID4882
0,Round Grinding,2011-01-02 13:14:56.054451+00:00,2011-01-02 13:14:56.054451+00:00,2011-01-02 13:29:30.080322+00:00,Joint_Round Grinding_2
0,Grinding Rework,2011-01-02 13:19:46.143175+00:00,2011-01-02 13:19:46.143175+00:00,2011-01-02 13:42:44.386047+00:00,ID4882
0,Round Grinding,2011-01-02 13:29:30.080322+00:00,2011-01-02 13:29:30.080322+00:00,2011-01-02 13:46:00.483701+00:00,Joint_Round Grinding_0
0,Grinding Rework,2011-01-02 13:42:44.386047+00:00,2011-01-02 13:42:44.386047+00:00,2011-01-02 17:35:25.157383+00:00,ID4882
0,Round Grinding,2011-01-02 13:46:00.483701+00:00,2011-01-02 13:46:00.483701+00:00,2011-01-02 16:44:28.036533+00:00,Joint_Round Grinding_1
