case_id,activity,enable_time,start_time,end_time,resource
0,Start,2011-01-02 05:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,Start
0,Turning & Milling,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,2011-01-02 08:24:49.581870+00:00,ID4641
0,Round Grinding,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,2011-01-02 19:39:07.057965+00:00,Joint_Round Grinding_0
0,Final Inspection Q.C.,2011-01-02 07:00:00.000000+00:00,2011-01-02 13:00:00.000000+00:00,2011-01-02 16:37:36.867052+00:00,Joint_Final Inspection Q.C._0
0,Packing,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,2011-01-14 07:36:06.611477+00:00,ID4820
0,Round Grinding,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,2011-01-03 13:02:42.509579+00:00,Joint_Round Grinding_1
0,Turning & Milling,2011-01-02 08:24:49.581870+00:00,2011-01-02 08:24:49.581870+00:00,2011-01-03 00:49:38.237261+00:00,Joint_Turning & Milling_0
1,Start,2011-01-02 14:26:40.000000+00:00,2011-01-02 14:26:40.000000+00:00,2011-01-02 14:26:40.000000+00:00,Start
1,Final Inspection Q.C.,2011-01-02 14:26:40.000000+00:00,2011-01-02 14:26:40.000000+00:00,2011-01-02 22:57:48.908882+00:00,Joint_Final Inspection Q.C._1
1,Grinding Rework,2011-01-02 14:26:40.000000+00:00,2011-01-02 14:26:40.000000+00:00,2011-01-02 16:19:46.920426+00:00,ID4882
1,Round Grinding,2011-01-02 14:26:40.000000+00:00,2011-01-02 14:26:40.000000+00:00,2011-01-02 20:27:32.943490+00:00,Joint_Round Grinding_2
1,Packing,2011-01-02 14:26:40.000000+00:00,2011-01-03 07:00:00.000000+00:00,2011-01-11 08:21:16.134972+00:00,Joint_Packing_0
1,Turning & Milling Q.C.,2011-01-02 14:26:40.000000+00:00,2011-01-02 14:26:40.000000+00:00,2011-01-03 16:24:18.585407+00:00,Joint_Turning & Milling Q.C._0
1,Grinding Rework,2011-01-02 16:19:46.920426+00:00,2011-01-02 16:19:46.920426+00:00,2011-01-02 18:45:32.994432+00:00,Joint_Grinding Rework_0
0,Final Inspection Q.C.,2011-01-02 16:37:36.867052+00:00,2011-01-02 17:00:00.000000+00:00,2011-01-02 17:30:17.091997+00:00,Joint_Final Inspection Q.C._3
0,Final Inspection Q.C.,2011-01-02 17:30:17.091997+00:00,2011-01-02 17:30:17.091997+00:00,2011-01-02 23:35:13.904015+00:00,Joint_Final Inspection Q.C._2
0,Round Grinding,2011-01-02 19:39:07.057965+00:00,2011-01-02 19:39:07.057965+00:00,2011-01-02 20:36:27.614740+00:00,ID0998
