case_id,activity,enable_time,start_time,end_time,resource
0,Start,2011-01-02 05:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,Start
0,Final Inspection Q.C.,2011-01-02 07:00:00.000000+00:00,2011-01-02 13:00:00.000000+00:00,2011-01-02 20:57:14.386718+00:00,Joint_Final Inspection Q.C._0
0,Round Grinding,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,2011-01-02 13:49:17.614792+00:00,Joint_Round Grinding_0
0,Turning & Milling,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,2011-01-02 08:10:37.812104+00:00,ID4641
0,Packing,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:34:31.189297+00:00,ID4820
0,Flat Grinding,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,2011-01-02 13:03:30.324370+00:00,ID4882
0,Turning & Milling,2011-01-02 08:10:37.812104+00:00,2011-01-02 08:10:37.812104+00:00,2011-01-02 14:22:28.333610+00:00,Joint_Turning & Milling_0
1,Start,2011-01-02 14:26:40.000000+00:00,2011-01-02 14:26:40.000000+00:00,2011-01-02 14:26:40.000000+00:00,Start
1,Final Inspection Q.C.,2011-01-02 14:26:40.000000+00:00,2011-01-02 14:26:40.000000+00:00,2011-01-05 20:45:54.846826+00:00,Joint_Final Inspection Q.C._1
1,Turning & Milling,2011-01-02 14:26:40.000000+00:00,2011-01-02 14:26:40.000000+00:00,2011-01-02 15:55:32.459774+00:00,Joint_Turning & Milling_1
1,Packing,2011-01-02 14:26:40.000000+00:00,2011-01-03 07:00:00.000000+00:00,2011-01-09 07:01:12.677150+00:00,Joint_Packing_0
1,Turning & Milling,2011-01-02 15:55:32.459774+00:00,2011-01-02 16:00:00.000000+00:00,2011-01-02 23:09:58.250540+00:00,Joint_Turning & Milling_2
1,Turning & Milling,2011-01-02 23:09:58.250540+00:00,2011-01-02 23:09:58.250540+00:00,2011-01-02 23:54:12.205485+00:00,Joint_Turning & Milling_3
2,Start,2011-01-02 23:53:20.000000+00:00,2011-01-02 23:53:20.000000+00:00,2011-01-02 23:53:20.000000+00:00,Start
2,Final Inspection Q.C.,2011-01-02 23:53:20.000000+00:00,2011-01-03 00:00:00.000000+00:00,2011-01-03 20:25:58.834537+00:00,Joint_Final Inspection Q.C._3
2,Round Grinding,2011-01-02 23:53:20.000000+00:00,2011-01-02 23:53:20.000000+00:00,2011-01-03 06:21:29.516727+00:00,Joint_Round Grinding_1
2,Packing,2011-01-02 23:53:20.000000+00:00,2011-01-03 07:00:00.000000+00:00,2011-01-23 09:47:44.341751+00:00,Joint_Packing_1
2,Turning & Milling,2011-01-02 23:53:20.000000+00:00,2011-01-03 03:00:00.000000+00:00,2011-01-03 08:59:40.106872+00:00,ID4641
1,Turning & Milling,2011-01-02 23:54:12.205485+00:00,2011-01-03 00:00:00.000000+00:00,2011-01-03 01:35:07.443203+00:00,Joint_Turning & Milling_5
1,Turning & Milling,2011-01-03 01:35:07.443203+00:00,2011-01-03 01:35:07.443203+00:00,2011-01-03 01:58:10.155574+00:00,Joint_Turning & Milling_0
1,Turning & Milling,2011-01-03 01:58:10.155574+00:00,2011-01-03 01:58:10.155574+00:00,2011-01-03 06:49:17.200041+00:00,Joint_Turning & Milling_4
1,Turning & Milling,2011-01-03 06:49:17.200041+00:00,2011-01-03 06:49:17.200041+00:00,2011-01-03 17:25:49.249288+00:00,Joint_Turning & Milling_1
2,Turning & Milling,2011-01-03 08:59:40.106872+00:00,2011-01-03 08:59:40.106872+00:00,2011-01-03 14:23:03.245187+00:00,Joint_Turning & Milling_2
3,Start,2011-01-03 09:20:00.000000+00:00,2011-01-03 09:20:00.000000+00:00,2011-01-03 09:20:00.000000+00:00,Start
3,Packing,2011-01-03 09:20:00.000000+00:00,2011-01-03 09:20:00.000000+00:00,2011-01-09 07:26:48.666313+00:00,ID4820
3,Round Grinding,2011-01-03 09:20:00.000000+00:00,2011-01-03 10:00:00.000000+00:00,2011-01-04 01:40:51.702219+00:00,Joint_Round Grinding_2
3,Turning & Milling,2011-01-03 09:20:00.000000+00:00,2011-01-03 09:20:00.000000+00:00,2011-01-03 13:09:39.819353+00:00,Joint_Turning & Milling_3
3,Final Inspection Q.C.,2011-01-03 09:20:00.000000+00:00,2011-01-03 14:00:00.000000+00:00,2011-01-03 18:21:06.168017+00:00,Joint_Final Inspection Q.C._2
3,Turning & Milling,2011-01-03 13:09:39.819353+00:00,2011-01-03 14:00:00.000000+00:00,2011-01-03 15:59:13.485532+00:00,Joint_Turning & Milling_5
2,Turning & Milling,2011-01-03 14:23:03.245187+00:00,2011-01-03 14:23:03.245187+00:00,2011-01-03 16:33:01.679948+00:00,Joint_Turning & Milling_0
3,Turning & Milling,2011-01-03 15:59:13.485532+00:00,2011-01-03 16:00:00.000000+00:00,2011-01-03 16:15:47.333823+00:00,Joint_Turning & Milling_4
3,Turning & Milling,2011-01-03 16:15:47.333823+00:00,2011-01-03 16:15:47.333823+00:00,2011-01-03 17:59:06.750034+00:00,ID4641
2,Turning & Milling,2011-01-03 16:33:01.679948+00:00,2011-01-03 22:00:00.000000+00:00,2011-01-04 08:37:23.290156+00:00,Joint_Turning & Milling_3
1,Turning & Milling,2011-01-03 17:25:49.249288+00:00,2011-01-03 18:00:00.000000+00:00,2011-01-03 18:52:00.814038+00:00,Joint_Turning & Milling_2
3,Turning & Milling,2011-01-03 17:59:06.750034+00:00,2011-01-03 21:00:00.000000+00:00,2011-01-03 21:04:18.464106+00:00,Joint_Turning & Milling_5
4,Start,2011-01-03 18:46:40.000000+00:00,2011-01-03 18:46:40.000000+00:00,2011-01-03 18:46:40.000000+00:00,Start
4,Packing,2011-01-03 18:46:40.000000+00:00,2011-01-09 07:01:12.677150+00:00,2011-01-11 07:40:34.255498+00:00,Joint_Packing_0
4,Final Inspection Q.C.,2011-01-03 18:46:40.000000+00:00,2011-01-03 18:46:40.000000+00:00,2011-01-04 15:31:52.517427+00:00,Joint_Final Inspection Q.C._0
4,Turning & Milling,2011-01-03 18:46:40.000000+00:00,2011-01-03 22:00:00.000000+00:00,2011-01-04 10:40:18.765878+00:00,Joint_Turning & Milling_4
