case_id,activity,enable_time,start_time,end_time,resource
0,Start,2011-01-02 05:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,Start
0,Final Inspection Q.C.,2011-01-02 07:00:00.000000+00:00,2011-01-02 13:00:00.000000+00:00,2011-01-02 16:44:47.249126+00:00,Joint_Final Inspection Q.C._0
0,Packing,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,2011-01-24 09:14:34.582552+00:00,ID4820
0,Turning & Milling,2011-01-02 07:00:00.000000+00:00,2011-01-02 07:00:00.000000+00:00,2011-01-02 08:31:46.847443+00:00,ID4641
0,Turning & Milling,2011-01-02 08:31:46.847443+00:00,2011-01-02 08:31:46.847443+00:00,2011-01-02 19:31:38.320242+00:00,Joint_Turning & Milling_0
1,Start,2011-01-02 14:26:40.000000+00:00,2011-01-02 14:26:40.000000+00:00,2011-01-02 14:26:40.000000+00:00,Start
1,Final Inspection Q.C.,2011-01-02 14:26:40.000000+00:00,2011-01-02 14:26:40.000000+00:00,2011-01-04 20:59:36.248408+00:00,Joint_Final Inspection Q.C._1
1,Round Grinding,2011-01-02 14:26:40.000000+00:00,2011-01-02 14:26:40.000000+00:00,2011-01-02 17:20:03.370614+00:00,Joint_Round Grinding_0
1,Turning & Milling,2011-01-02 14:26:40.000000+00:00,2011-01-02 14:26:40.000000+00:00,2011-01-02 16:15:22.589977+00:00,Joint_Turning & Milling_1
1,Packing,2011-01-02 14:26:40.000000+00:00,2011-01-03 07:00:00.000000+00:00,2011-01-07 08:12:48.227501+00:00,Joint_Packing_0
1,Turning & Milling,2011-01-02 16:15:22.589977+00:00,2011-01-02 16:15:22.589977+00:00,2011-01-02 23:01:14.095350+00:00,Joint_Turning & Milling_2
0,Final Inspection Q.C.,2011-01-02 16:44:47.249126+00:00,2011-01-02 17:00:00.000000+00:00,2011-01-14 17:49:13.961162+00:00,Joint_Final Inspection Q.C._3
1,Round Grinding,2011-01-02 17:20:03.370614+00:00,2011-01-02 17:20:03.370614+00:00,2011-01-02 21:13:27.585322+00:00,Joint_Round Grinding_1
0,Turning & Milling,2011-01-02 19:31:38.320242+00:00,2011-01-02 22:00:00.000000+00:00,2011-01-03 09:36:51.005438+00:00,Joint_Turning & Milling_3
1,Round Grinding,2011-01-02 21:13:27.585322+00:00,2011-01-02 21:13:27.585322+00:00,2011-01-02 23:01:43.055583+00:00,Joint_Round Grinding_2
1,Turning & Milling,2011-01-02 23:01:14.095350+00:00,2011-01-03 03:00:00.000000+00:00,2011-01-03 22:21:00.422568+00:00,ID4641
1,Round Grinding,2011-01-02 23:01:43.055583+00:00,2011-01-02 23:01:43.055583+00:00,2011-01-03 01:56:45.838044+00:00,ID0998
2,Start,2011-01-02 23:53:20.000000+00:00,2011-01-02 23:53:20.000000+00:00,2011-01-02 23:53:20.000000+00:00,Start
2,Turning & Milling Q.C.,2011-01-02 23:53:20.000000+00:00,2011-01-02 23:53:20.000000+00:00,2011-01-03 07:14:30.896525+00:00,Joint_Turning & Milling Q.C._0
2,Final Inspection Q.C.,2011-01-02 23:53:20.000000+00:00,2011-01-02 23:53:20.000000+00:00,2011-01-03 16:30:59.455982+00:00,Joint_Final Inspection Q.C._2
2,Packing,2011-01-02 23:53:20.000000+00:00,2011-01-03 07:00:00.000000+00:00,2011-01-07 09:35:42.071239+00:00,Joint_Packing_1
2,Round Grinding,2011-01-02 23:53:20.000000+00:00,2011-01-02 23:53:20.000000+00:00,2011-01-03 04:33:04.479770+00:00,Joint_Round Grinding_0
2,Round Grinding,2011-01-03 04:33:04.479770+00:00,2011-01-03 06:00:00.000000+00:00,2011-01-04 07:36:17.199705+00:00,Joint_Round Grinding_1
2,Turning & Milling Q.C.,2011-01-03 07:14:30.896525+00:00,2011-01-03 07:14:30.896525+00:00,2011-01-03 08:02:06.769659+00:00,Joint_Turning & Milling Q.C._1
2,Turning & Milling Q.C.,2011-01-03 08:02:06.769659+00:00,2011-01-03 14:00:00.000000+00:00,2011-01-04 19:01:27.129893+00:00,Joint_Turning & Milling Q.C._2
3,Start,2011-01-03 09:20:00.000000+00:00,2011-01-03 09:20:00.000000+00:00,2011-01-03 09:20:00.000000+00:00,Start
3,Final Inspection Q.C.,2011-01-03 09:20:00.000000+00:00,2011-01-03 14:00:00.000000+00:00,2011-01-03 16:14:53.180884+00:00,Joint_Final Inspection Q.C._0
3,Turning & Milling,2011-01-03 09:20:00.000000+00:00,2011-01-03 14:00:00.000000+00:00,2011-01-10 21:20:51.073652+00:00,Joint_Turning & Milling_5
3,Turning Q.C.,2011-01-03 09:20:00.000000+00:00,2011-01-03 14:00:00.000000+00:00,2011-01-03 21:58:01.516636+00:00,Joint_Turning Q.C._0
3,Round Grinding,2011-01-03 09:20:00.000000+00:00,2011-01-03 10:00:00.000000+00:00,2011-01-03 18:06:02.317230+00:00,Joint_Round Grinding_2
3,Packing,2011-01-03 09:20:00.000000+00:00,2011-01-07 08:12:48.227501+00:00,2011-01-31 07:57:10.202019+00:00,Joint_Packing_0
0,Turning & Milling,2011-01-03 09:36:51.005438+00:00,2011-01-03 13:00:00.000000+00:00,2011-01-03 23:33:14.140808+00:00,Joint_Turning & Milling_4
3,Final Inspection Q.C.,2011-01-03 16:14:53.180884+00:00,2011-01-03 16:14:53.180884+00:00,2011-01-03 23:00:01.200452+00:00,Joint_Final Inspection Q.C._0
2,Final Inspection Q.C.,2011-01-03 16:30:59.455982+00:00,2011-01-03 16:30:59.455982+00:00,2011-01-04 16:45:48.697019+00:00,Joint_Final Inspection Q.C._2
3,Round Grinding,2011-01-03 18:06:02.317230+00:00,2011-01-03 18:06:02.317230+00:00,2011-01-04 23:13:03.086986+00:00,ID0998
4,Start,2011-01-03 18:46:40.000000+00:00,2011-01-03 18:46:40.000000+00:00,2011-01-03 18:46:40.000000+00:00,Start
4,Round Grinding,2011-01-03 18:46:40.000000+00:00,2011-01-03 22:00:00.000000+00:00,2011-01-03 23:19:01.891804+00:00,Joint_Round Grinding_3
4,Final Inspection Q.C.,2011-01-03 18:46:40.000000+00:00,2011-01-03 23:00:01.200452+00:00,2011-01-03 23:57:52.433638+00:00,Joint_Final Inspection Q.C._0
4,Turning & Milling,2011-01-03 18:46:40.000000+00:00,2011-01-03 19:00:00.000000+00:00,2011-01-04 14:03:18.626941+00:00,Joint_Turning & Milling_1
4,Round Grinding,2011-01-03 18:46:40.000000+00:00,2011-01-03 18:46:40.000000+00:00,2011-01-04 18:11:12.545030+00:00,Joint_Round Grinding_0
4,Packing,2011-01-03 18:46:40.000000+00:00,2011-01-07 09:35:42.071239+00:00,2011-01-23 09:42:21.132182+00:00,Joint_Packing_1
3,Turning Q.C.,2011-01-03 21:58:01.516636+00:00,2011-01-04 17:00:00.000000+00:00,2011-01-13 22:43:47.014838+00:00,Joint_Turning Q.C._1
3,Final Inspection Q.C.,2011-01-03 23:00:01.200452+00:00,2011-01-03 23:57:52.433638+00:00,2011-01-05 14:37:50.785751+00:00,Joint_Final Inspection Q.C._0
